POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,2,Classified,711,24:00:30.981,50 Laps,+2.502,483,1:45.087,196.3,KCMG,GTDPRO,,,Porsche 911 GT3R,M,1589,407,41,93,112,3,,12235,,,Laurens,Vanthoor,Platinum,,BEL,,2727,1,Platinum,,,Patrick,Pilet,Platinum,,FRA,,287,2,Platinum,,,Dennis,Olsen,Gold,,NOR,,1727,3,Gold,,,Alexandre,Imperatori,Gold,,CHE,,376,4,Gold,,,,,,,,,,,,,,,
22,14,Classified,711,24:00:33.733,50 Laps,+2.752,137,1:45.120,196.2,VasserSullivan,GTDPRO,,,Lexus RC F GT3,M,1550,336,41,46,7644,3,,12227,,,Jack,Hawksworth,Gold,,GBR,,838,2,Gold,,,Ben,Barnicoat,Platinum,,GBR,,2620,1,Platinum,,,Kyle,Kirkwood,Silver,,USA,,1755,3,Silver,,,,,,,,,,,,,,,,,,,,,
23,15,Classified,709,24:00:50.124,52 Laps,2 Laps,127,1:45.763,195.0,Proton USA,GTDPRO,,,Mercedes-AMG GT3,M,1576,4,41,45,7643,3,,12233,,,Dirk,Mueller,Platinum,,DEU,,36,2,Platinum,,,Patrick,Assenheimer,Silver,,DEU,,2690,1,Silver,,,Austin,Cindric,Gold,,USA,,878,3,Gold,,,,,,,,,,,,,,,,,,,,,
24,16,Classified,707,24:00:33.614,54 Laps,2 Laps,460,1:45.154,196.1,Wright Motorsports,GTD,,,Porsche 911 GT3R,M,857,111,4,93,112,3,,12259,,,Ryan,Hardwick,Bronze,,USA,,1256,1,Bronze,,,Zacharie,Robichon,Silver,,CAN,,1176,2,Silver,,,Jan,Heylen,Gold,,BEL,,184,3,Gold,,,Richard,Lietz,Platinum,,AUT,,216,4,Platinum,,,,,,,,,,,,,,,
25,44,Classified,707,24:00:46.156,54 Laps,+12.542,446,1:45.448,195.6,Magnus Racing,GTD,,,Aston Martin Vantage GT3,M,1554,32,4,18,73,3,,12244,,,John,Potter,Bronze,,USA,,670,1,Bronze,,,Andy,Lally,Gold,,USA,,25,2,Gold,,,Spencer,Pumpelly,Silver,,USA,,64,3,Silver,,,Jonathan,Adam,Platinum,,GBR,,2704,4,Platinum,,,,,,,,,,,,,,,
26,32,Classified,707,24:00:52.516,54 Laps,+6.360,329,1:45.994,194.6,Gilbert Korthoff Motorsports,GTD,,,Mercedes-AMG GT3,M,1462,222,4,45,7643,3,,12248,,,Mike,Skeen,Silver,,USA,,830,1,Silver,,,James,Davison,Gold,,AUS,,425,2,Gold,,,Stevan,McAleer,Silver,,GBR,,460,3,Silver,,,Scott,Andrews,Gold,,AUS,,1657,4,Gold,,,,,,,,,,,,,,,
27,21,Classified,707,24:01:07.629,54 Laps,+15.113,139,1:45.191,196.1,AF CORSE,GTD,,,Ferrari 488 GT3,M,922,333,4,16,106,3,,12251,,,Simon,Mann,Silver,,USA,,2435,1,Silver,,,Luis,Perez Companc,Bronze,,ARG,,2719,2,Bronze,,,Nicklas,Nielsen,Gold,,DNK,,2724,3,Gold,,,Toni,Vilander,Platinum,,FIN,,2723,4,Platinum,,,,,,,,,,,,,,,
28,70,Classified,705,24:00:47.048,56 Laps,2 Laps,499,1:45.117,196.2,inception racing,GTD,,,McLaren 720S GT3,M,1520,388,4,81,7651,3,,12252,,,Brendan,Iribe,Bronze,,USA,,2622,1,Bronze,,,Frederik,Schandorff,Silver,,DNK,,2725,2,Silver,,,Ollie,Millroy,Silver,,GBR,,2755,3,Silver,,,Jordan,Pepper,Gold,,ZAF,,2716,4,Gold,,,,,,,,,,,,,,,
29,57,Classified,699,24:01:00.387,62 Laps,6 Laps,343,1:45.483,195.5,Winward Racing,GTD,,,Mercedes-AMG GT3,M,934,304,4,45,7643,3,,12238,,,Russell,Ward,Silver,,USA,,1252,1,Silver,,,Philip,Ellis,Gold,,CHE,,1936,2,Gold,,,Mikael,Grenier,Silver,,CAN,,1624,5,Silver,,,Lucas,Auer,Gold,,AUT,,2750,4,Gold,,,,,,,,,,,,,,,
30,3,Classified,698,24:00:35.463,63 Laps,1 Lap,492,1:46.073,194.4,Corvette Racing,GTDPRO,,,Chevrolet Corvette C8.R GTD,M,1537,23,41,110,105,3,,12226,,,Antonio,Garcia,Platinum,,ESP,,2726,1,Platinum,,,Jordan,Taylor,Platinum,,USA,,13,2,Platinum,,,Nicky,Catsburg,Platinum,,NLD,,1113,3,Platinum,,,,,,,,,,,,,,,,,,,,,
