POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
22,83,13,1:44.267,+2.717,+0.022,169.5,17,Schumacher CLRT,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Simon,GACHET,,,FRA,,,,,,,Simon,TIRMAN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,99,9,1:44.318,+2.768,+0.051,169.4,24,Leipert Motorsport,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Glenn,MCGEE,,,USA,,,,,,,Anthony,MCINTOSH,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,74,6,1:44.336,+2.786,+0.018,169.4,17,Pegasus Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Anthony,NAHRA,,,FRA,,,,,,,Dimitri,ENJALBERT,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11,16,1:44.422,+2.872,+0.086,169.2,20,Micanek Motorsport  Powered by Buggyra,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Bronek,FORMANEK,B,,CZE,,,,,,,Stefan,ROSINA,S,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,75,14,1:44.461,+2.911,+0.039,169.2,19,ART-Line,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Shota,ABKHAZAVA,,,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30,10,1:44.524,+2.974,+0.063,169.1,19,CMR,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Loris,CABIROU,S,,FRA,,,,,,,Quentin,ANTONEL,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,63,8,1:44.673,+3.123,+0.149,168.8,22,Autovitesse,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Cedric,LEIMER,B,,CHE,,,,,,,Julien,PIGUET,B,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,22,17,1:44.718,+3.168,+0.045,168.8,23,Micanek Motorsport Powered by Buggyra,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jachym,GALAS,S,,CZE,,,,,,,Matej,PAVLICEK,S,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,72,6,1:44.722,+3.172,+0.004,168.8,21,DL Racing,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Diego,LOCANTO,,,ITA,,,,,,,Stefano,PEZZUCCHI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,34,7,1:44.889,+3.339,+0.167,168.5,22,Oregon Team,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Paul,LEVET,S,,FRA,,,,,,,Laszlo,TOTH,S,,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
