POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
32,130,7,4:36.551,+49.530,+1.107,177.4,9,,GT2B,,,FERRARI F430 GTC Evo 2007,,,,,,,,,,,,Colin,PATON,,,GBR,,,,,,,Fergus,PATON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,76,9,4:36.568,+49.547,+0.017,177.4,9,,GT2B,,,PORSCHE 996 GT3-RSR 2005,,,,,,,,,,,,Jean-Lou,RIHON,,,BEL,,,,,,,Nick,PADMORE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,49,7,4:38.858,+51.837,+2.290,175.9,7,,GT2B,,,PORSCHE 996 GT3-R 2001,,,,,,,,,,,,Lars,ROLNER,,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,31,7,4:40.205,+53.184,+1.347,175.1,9,,GT2B,,,PORSCHE 996 GT3-RS 2003,,,,,,,,,,,,Andrew,LAWLEY,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,39,6,4:44.929,+57.908,+4.724,172.2,8,,Proto B,,,LOLA B05/40 2005,,,,,,,,,,,,Pierre-Loup,BOCH,,,FRA,BOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,18,3,4:45.030,+58.009,+0.101,172.1,4,,GT2A,,,PORSCHE 993 GT2 1997,,,,,,,,,,,,Heiko,OSTMANN,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,77,3,4:46.056,+59.035,+1.026,171.5,6,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Mike,YOULES,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,123,8,4:48.530,+1:01.509,+2.474,170.0,8,,INV,,,CHEVROLET Corvette Z06R 2007,,,,,,,,,,,,Peter,JOOS,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,160,8,4:54.310,+1:07.289,+5.780,166.7,9,,GT2B,,,PORSCHE 996 GT3 RS 2002,,,,,,,,,,,,Peter,FAIRBAIRN,,,GBR,,,,,,,Paul,MCLEAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,51,4,4:55.210,+1:08.189,+0.900,166.2,8,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Paul,HOWELLS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,32,5,4:55.371,+1:08.350,+0.161,166.1,8,,Proto B,,,COURAGE C65 2005,,,,,,,,,,,,Lionel,BOCH,,,FRA,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,70,5,4:56.709,+1:09.688,+1.338,165.3,7,,GT2B,,,FERRARI 360 Modena N-GT 2000,,,,,,,,,,,,Pascal,DUHAMEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,273,6,4:59.493,+1:12.472,+2.784,163.8,8,,GT2A,,,MORGAN Plus 8 GTR 1996,,,,,,,,,,,,Adrian,VAN DER KROFT,,,NLD,KRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,69,4,5:30.919,+1:43.898,+31.426,148.2,7,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Paul,PHILLIPS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,118,1,5:35.931,+1:48.910,+5.012,144.5,3,,INV,,,CHEVROLET Corvette Z06R 2010,,,,,,,,,,,,Alfred,MOSER,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,57,1,5:45.411,+1:58.390,+9.480,140.5,1,,GT2B,,,ASTON MARTIN DBRS9 2009,,,,,,,,,,,,Romain,BELLETESTE,,,FRA,,,,,,,Serge,KRIKNOFF,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,0,,,,,1,,Proto B,,,BENTLEY Speed 8 2003,,,,,,,,,,,,Shaun,LYNN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14,0,,,,,0,,Proto B,,,RILEY & SCOTT MK III C 2003,,,,,,,,,,,,Xavier,MICHERON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,94,0,,,,,0,,GT2A,,,MARCOS LM500 1994,,,,,,,,,,,,Stephen,KEATING,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,96,0,,,,,0,,GT2B,,,FERRARI F430 GTC Evo 2009,,,,,,,,,,,,Michael,MCINERNEY,,,GBR,MCM,,,,,,Sean,MCINERNEY,,,GBR,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,173,0,,,,,0,,GT2B,,,MORGAN Aero 8 GTN 2002,,,,,,,,,,,,Steven,HYDE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
