POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,20,30,1:58.287,+7.198,+0.115,198.3,34,MDK by High Class Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Seth,Lucas,Silver,"Powell, OH",USA,,,,,,,Dennis,Andersen,Bronze,"Vejle, Denmark",DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,88,15,1:59.603,+8.514,+1.316,196.1,21,Richard Mille AF Corse,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Nicklas,Nielsen,Platinum,"Uldum, Denmark",DNK,,,,,,,Luis,Perez Companc,Bronze,"Buenos Aires, Argentina",ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,70,21,2:05.242,+14.153,+5.639,187.3,31,Inception Racing,GTD,B,,McLaren 720S GT3 EVO,M,,,,,,,,,,,Frederik,Schandorff,Gold,"Aarhus, Denmark",DNK,,,,,,,Brendan,Iribe,Bronze,"Los Angeles, CA",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,4,2:05.369,+14.280,+0.127,187.1,30,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Alexander,Sims,Platinum,"Alcester, United Kingdom",GBR,,,,,,,Antonio,Garcia,Platinum,"Madrid, Spain",ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,64,5,2:05.588,+14.499,+0.219,186.7,30,Ford Multimatic Motorsports,GTDPRO,,,Ford Mustang GT3,M,,,,,,,,,,,Mike,Rockenfeller,Platinum,"Landschlacht, Switzerland",CHE,,,,,,,Harry,Tincknell,Platinum,"London, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,26,2:05.676,+14.587,+0.088,186.6,29,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Nicky,Catsburg,Platinum,"Amersfoort, Netherlands",NLD,,,,,,,Tommy,Milner,Platinum,"Middleburg, VA",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,77,3,2:05.687,+14.598,+0.011,186.6,29,AO Racing,GTDPRO,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Julien,Andlauer,Gold,"Lyon, France",FRA,,,,,,,Laurin,Heinrich,Gold,"Würzburg, Germany",DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,8,2:05.718,+14.629,+0.031,186.5,30,Paul Miller Racing,GTDPRO,,,BMW M4 GT3,M,,,,,,,,,,,Madison,Snow,Gold,"Salt Lake City, UT",USA,,,,,,,Bryan,Sellers,Gold,"Flowery Branch, GA",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,35,14,2:05.749,+14.660,+0.031,186.5,30,Conquest Racing,GTDPRO,,,Ferrari 296 GT3,M,,,,,,,,,,,Giacomo,Altoe,Gold,Adria,ITA,,,,,,,Daniel,Serra,Platinum,"Sao Paulo, Brazil",BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,14,25,2:05.749,+14.660,+0.000,186.5,26,VasserSullivan,GTDPRO,,,Lexus RC F GT3,M,,,,,,,,,,,Ben,Barnicoat,Platinum,"Chesterfield, United Kingdom",GBR,,,,,,,Jack,Hawksworth,Gold,"Bradford, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
