POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
22,13,6,1:42.856,+7.671,+0.057,200.5,35,AWA,LMP3,,,Duqueine D08,M,1675,217,36,105,7665,3,,14223,,,Orey,Fidani,Bronze,,CAN,,973,3,Bronze,,,Matthew,Bell,Gold,,GBR,,424,4,Gold,,,Lars,Kern,Silver,,DEU,,1785,1,Silver,,,Moritz,Kranz,Silver,,DEU,,2994,2,Silver,,,,,,,,,,,,,,,
23,87,12,1:42.860,+7.675,+0.004,200.5,36,FastMD Racing,LMP3,,,Duqueine D08,M,2174,267,36,105,7665,3,,14224,,,Yu,Kanamaru,Silver,,JPN,,3040,2,Silver,,,Antonio,Serravalle,Silver,,CAN,,3049,3,Silver,,,Nick,Boulle,Silver,,USA,,1091,4,Silver,,,James,Vance,Silver,,CAN,,486,1,Silver,,,,,,,,,,,,,,,
24,33,7,1:43.033,+7.848,+0.173,200.2,37,Sean Creech Motorsport,LMP3,,,Ligier JS P320,M,1603,286,36,96,7650,3,,14222,,,Lance,Willsey,Bronze,,USA,,664,2,Bronze,,,Joao,Barbosa,Gold,,USA,,182,1,Gold,,,Nico,Pino,Silver,,CHL,,2770,4,Silver,,,Nolan,Siegel,Silver,,USA,,2794,3,Silver,,,,,,,,,,,,,,,
25,85,5,1:43.742,+8.557,+0.709,198.8,17,JDC Miller MotorSports,LMP3,,,Duqueine D08,M,2178,15,36,105,7665,3,,14225,,,Till,Bechtolsheimer,Bronze,,GBR,,1152,1,Bronze,,,Tijmen,van der Helm,Gold,,NLD,,2687,2,Gold,,,Luca,Mars,Silver,,USA,,2469,3,Silver,,,Mason,Filippi,Silver,,USA,,1829,4,Silver,,,,,,,,,,,,,,,
26,38,27,1:44.780,+9.595,+1.038,196.8,34,Performance Tech Motorsports,LMP3,,,Ligier JS P320,M,1678,289,36,96,7650,3,,14218,,,John,DeAngelis,Bronze,,USA,,1642,1,Bronze,,,Christopher,Allen,Silver,,USA,,2480,4,Silver,,,Connor,Bloum,Silver,,USA,,471,2,Silver,,,Cameron,Shields,Silver,,AUS,,2696,3,Silver,,,,,,,,,,,,,,,
27,43,13,1:46.122,+10.937,+1.342,194.4,16,MRS GT-Racing,LMP3,,,Ligier JS P320,M,2163,374,36,96,7650,3,,14221,,,Sebastian,Alvarez,Silver,,MEX,,3052,1,Silver,,,James,French,Silver,,USA,,284,4,Silver,,,Guilherme,de Oliveira,Silver,,PRT,,3027,3,Silver,,,Danial,Frost,Silver,,CHN,,3063,2,Silver,,,,,,,,,,,,,,,
28,32,4,1:46.282,+11.097,+0.160,194.1,35,Team Korthoff Motorsports,GTD,,,Mercedes-AMG GT3,M,2252,463,4,203,7643,3,,14260,,,Mike,Skeen,Silver,,USA,,830,4,Silver,,,Mikael,Grenier,Gold,,CAN,,1624,3,Gold,,,Kenton,Koch,Silver,,USA,,2239,1,Silver,,,Maximilian,Goetz,Platinum,,DEU,,2720,2,Platinum,,,,,,,,,,,,,,,
29,79,22,1:46.400,+11.215,+0.118,193.8,30,WeatherTech Racing,GTDPRO,,,Mercedes-AMG GT3,M,2244,360,41,204,7643,3,,14237,,,Cooper,MacNeil,Silver,,USA,,113,1,Silver,,,Daniel,Juncadella,Platinum,,ESP,,1584,2,Platinum,,,Jules,Gounon,Platinum,,FRA,,1224,3,Platinum,,,Maro,Engel,Platinum,,DEU,,3055,4,Platinum,,,,,,,,,,,,,,,
30,93,5,1:46.418,+11.233,+0.018,193.8,32,Racers Edge Motorsports with WTR,GTD,,,Acura NSX GT3,M,2159,414,4,43,7641,3,,14250,,,Ashton,Harrison,Silver,,USA,,1862,1,Silver,,,Danny,Formal,Silver,,CRI,,2130,2,Silver,,,Kyle,Marcelli,Gold,,CAN,,88,3,Gold,,,Ryan,Briscoe,Platinum,,USA,,358,4,Platinum,,,,,,,,,,,,,,,
31,75,26,1:46.642,+11.457,+0.224,193.4,37,Sun Energy 1,GTD,,,Mercedes-AMG GT3,M,2257,143,4,203,7643,3,,14269,,,Kenny,Habul,Bronze,,AUS,,1115,1,Bronze,,,Luca,Stolz,Platinum,,DEU,,1124,2,Platinum,,,Fabian,Schiller,Gold,,DEU,,1790,3,Gold,,,Axcil,Jefferies,Silver,,ZWE,,3057,4,Silver,,,,,,,,,,,,,,,
32,42,14,1:46.704,+11.519,+0.062,193.3,22,NTE Sport,GTD,,,Lamborghini Huracan GT3 EVO2,M,2203,353,4,194,1609,3,,14267,,,Don,Yount,Bronze,,USA,,399,1,Bronze,,,Jaden,Conwright,Silver,,USA,,2204,2,Silver,,,Kerong,Li,Silver,,USA,,2627,3,Silver,,,Alessio,Deledda,Silver,,ITA,,3041,4,Silver,,,,,,,,,,,,,,,
33,44,4,1:46.715,+11.530,+0.011,193.3,35,Magnus Racing,GTD,,,Aston Martin Vantage GT3,M,1554,32,4,18,73,3,,14254,,,John,Potter,Bronze,,USA,,670,1,Bronze,,,Andy,Lally,Gold,,USA,,25,2,Gold,,,Spencer,Pumpelly,Silver,,USA,,64,3,Silver,,,Nicki,Thiim,Platinum,,DNK,,130,4,Platinum,,,,,,,,,,,,,,,
34,70,6,1:46.751,+11.566,+0.036,193.2,37,Inception Racing,GTD,,,McLaren 720S GT3,M,1520,388,4,81,7651,3,,14264,,,Brendan,Iribe,Bronze,,USA,,2622,1,Bronze,,,Frederik,Schandorff,Gold,,DNK,,2995,2,Gold,,,Ollie,Millroy,Silver,,GBR,,3004,3,Silver,,,Marvin,Kirchhofer,Platinum,,CHE,,3010,4,Platinum,,,,,,,,,,,,,,,
35,78,7,1:46.869,+11.684,+0.118,193.0,37,US RaceTronics,GTD,,,Lamborghini Huracan GT3 EVO2,M,2156,396,4,194,1609,3,,14249,,,Misha,Goikhberg,Silver,,RUS,,168,1,Silver,,,Loris,Spinelli,Gold,,ITA,,3038,2,Gold,,,Benja,Hites,Silver,,CHL,,1630,3,Silver,,,Marco,Mapelli,Platinum,,ITA,,3019,4,Platinum,,,,,,,,,,,,,,,
36,23,12,1:46.871,+11.686,+0.002,193.0,29,Heart of Racing Team,GTDPRO,,,Aston Martin Vantage GT3,M,2246,294,41,18,73,3,,14239,,,Ross,Gunn,Gold,,GBR,,1905,1,Gold,,,Alex,Riberas,Gold,,ESP,,659,2,Gold,,,David,Pittard,Gold,,GBR,,2744,3,Gold,,,,,,,,,,,,,,,,,,,,,
37,3,16,1:46.937,+11.752,+0.066,192.9,33,Corvette Racing,GTDPRO,,,Chevrolet Corvette C8.R GTD,M,2253,23,41,110,105,3,,14243,,,Antonio,Garcia,Platinum,,ESP,,12,1,Platinum,,,Jordan,Taylor,Platinum,,USA,,13,2,Platinum,,,Tommy,Milner,Platinum,,USA,,15,3,Platinum,,,,,,,,,,,,,,,,,,,,,
38,64,5,1:47.039,+11.854,+0.102,192.7,16,TGM/TF Sport,GTDPRO,,,Aston Martin Vantage GT3,M,2254,464,41,18,73,3,,14244,,,Ted,Giovanis,Bronze,,USA,,489,1,Bronze,,,Hugh,Plumb,Bronze,,USA,,421,3,Bronze,,,Matt,Plumb,Silver,,USA,,429,2,Silver,,,Owen,Trinkler,Silver,,USA,,519,5,Silver,,,,,,,,,,,,,,,
