NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
36,2,5,3:24.122,2,,32.261,2,1:18.724,0,1:33.137,2,240.3,19:05.478,21:24:05.478,0:32.261,1:18.724,1:33.137,338.7,Jules Gounon,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,32.261,78.724,93.137,7.968,7.968,9.691,17.659,14.602,32.261,32.322,1:04.583,4.745,1:09.328,25.085,1:34.413,16.572,1:50.985,6.245,1:57.230,35.710,2:32.940,16.538,2:49.478,15.024,3:04.502,10.230,3:14.732,5.953,3:20.685,3.437,3:24.122,
36,2,6,3:39.180,0,B,33.306,0,1:21.989,0,1:43.885,0,223.8,22:44.658,21:27:44.658,0:33.306,1:21.989,1:43.885,344.1,Jules Gounon,,HYPERCAR,,Alpine Endurance Team,Alpine,FF,33.306,81.989,103.885,7.929,7.929,10.050,17.979,15.327,33.306,33.004,1:06.310,5.035,1:11.345,27.400,1:38.745,16.550,1:55.295,6.437,2:01.732,36.194,2:37.926,16.707,2:54.633,15.998,3:10.631,10.776,3:21.407,,,,3:39.180,
38,2,1,4:03.846,0,,1:00.113,0,1:23.946,0,1:39.787,0,199.0,4:03.846,21:09:03.846,1:00.113,1:23.946,1:39.787,282.4,Earl Bamber,0:00:19.825,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,60.113,83.946,99.787,27.567,27.567,13.820,41.387,18.726,1:00.113,35.012,1:35.125,4.848,1:39.973,26.805,2:06.778,17.281,2:24.059,6.618,2:30.677,37.928,3:08.605,17.437,3:26.042,15.986,3:42.028,11.320,3:53.348,7.123,4:00.471,3.375,4:03.846,
38,2,2,3:23.733,0,,32.250,0,1:18.361,0,1:33.122,0,240.8,7:27.579,21:12:27.579,0:32.250,1:18.361,1:33.122,339.7,Earl Bamber,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,32.250,78.361,93.122,7.994,7.994,9.879,17.873,14.377,32.250,32.332,1:04.582,4.689,1:09.271,24.921,1:34.192,16.419,1:50.611,6.297,1:56.908,35.750,2:32.658,16.606,2:49.264,14.984,3:04.248,10.188,3:14.436,5.934,3:20.370,3.363,3:23.733,
38,2,3,3:31.330,0,B,32.337,0,1:18.313,0,1:40.680,0,232.1,10:58.909,21:15:58.909,0:32.337,1:18.313,1:40.680,340.8,Earl Bamber,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,32.337,78.313,100.680,7.981,7.981,9.860,17.841,14.496,32.337,32.337,1:04.674,4.691,1:09.365,24.921,1:34.286,16.364,1:50.650,6.325,1:56.975,35.777,2:32.752,16.563,2:49.315,15.081,3:04.396,10.860,3:15.256,,,,3:31.330,
38,2,4,4:23.493,0,,1:24.643,0,1:22.312,0,1:36.538,0,186.2,15:22.402,21:20:22.402,1:24.643,1:22.312,1:36.538,312.4,Earl Bamber,0:00:54.219,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,84.643,82.312,96.538,51.458,51.458,14.375,1:05.833,18.810,1:24.643,34.660,1:59.303,4.729,2:04.032,25.885,2:29.917,17.038,2:46.955,6.548,2:53.503,37.059,3:30.562,16.769,3:47.331,15.824,4:03.155,10.812,4:13.967,6.191,4:20.158,3.335,4:23.493,
38,2,5,3:23.187,0,,32.211,0,1:18.301,2,1:32.675,0,241.4,18:45.589,21:23:45.589,0:32.211,1:18.301,1:32.675,340.8,Earl Bamber,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,32.211,78.301,92.675,7.989,7.989,9.819,17.808,14.403,32.211,32.312,1:04.523,4.673,1:09.196,24.902,1:34.098,16.414,1:50.512,6.242,1:56.754,35.531,2:32.285,16.603,2:48.888,14.829,3:03.717,10.156,3:13.873,5.953,3:19.826,3.361,3:23.187,
38,2,6,3:23.091,2,,32.004,2,1:18.413,0,1:32.674,2,241.5,22:08.680,21:27:08.680,0:32.004,1:18.413,1:32.674,338.7,Earl Bamber,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,FF,32.004,78.413,92.674,7.996,7.996,9.624,17.620,14.384,32.004,32.343,1:04.347,4.694,1:09.041,24.948,1:33.989,16.428,1:50.417,6.283,1:56.700,35.565,2:32.265,16.577,2:48.842,14.839,3:03.681,10.115,3:13.796,5.936,3:19.732,3.359,3:23.091,
50,1,1,4:11.600,0,,1:05.335,0,1:25.000,0,1:41.265,0,192.9,4:11.600,21:09:11.600,1:05.335,1:25.000,1:41.265,289.9,Antonio Fuoco,0:00:25.588,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,65.335,85.000,101.265,31.693,31.693,15.056,46.749,18.586,1:05.335,36.172,1:41.507,4.884,1:46.391,26.488,2:12.879,17.456,2:30.335,7.211,2:37.546,37.175,3:14.721,17.092,3:31.813,16.026,3:47.839,11.254,3:59.093,9.078,4:08.171,3.429,4:11.600,
50,1,2,3:25.003,0,,32.562,0,1:18.819,0,1:33.622,0,239.3,7:36.603,21:12:36.603,0:32.562,1:18.819,1:33.622,337.6,Antonio Fuoco,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.562,78.819,93.622,8.052,8.052,10.032,18.084,14.478,32.562,32.576,1:05.138,4.741,1:09.879,24.959,1:34.838,16.543,1:51.381,6.337,1:57.718,35.912,2:33.630,16.675,2:50.305,14.959,3:05.264,10.249,3:15.513,6.017,3:21.530,3.473,3:25.003,
