POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,4,10,3:36.283,+9.272,+0.291,226.8,38,Crowdstrike Racing by APR,LMP2,P/A,,Oreca 07 - Gibson,G,107471,6347,,5626,256,,,,CROWDSTRIKE APR,,George,Kurtz,B,,USA,,11041,,,,,Alexander,Quinn,G,,GBR,,11463,,,,,Laurin,Heinrich,G,,GER,HEN,11381,,,,,,,,,,,,,,,,,,,,,,,
22,14,17,3:36.799,+9.788,+0.516,226.3,34,TDS Racing,LMP2,P/A,,Oreca 07 - Gibson,G,107480,6350,,5626,256,,,,TDS RACING,,Tobias,Lutke,B,,CAN,,12087,,,,,Mathias,Beche,G,,SUI,,151,,,,,Kevin,Estre,P,,FRA,,1292,,,,,Sami,Meguetounif,S,,FRA,,12147,,,,,,,,,,,,,,,,,
23,29,35,3:36.928,+9.917,+0.129,226.1,35,Forestier Racing by Panis,LMP2,,,Oreca 07 - Gibson,G,107493,7466,,5626,256,,,,FORESTIERRACING,,Louis,Rousset,S,,FRA,,10417,,,,,Esteban,Masson,G,,FRA,,11272,,,,,Oliver,Gray,G,,GBR,,11468,,,,,Sami,Meguetounif,S,,FRA,,12147,,,,,,,,,,,,,,,,,
24,30,26,3:37.440,+10.429,+0.512,225.6,26,Duqueine Team,LMP2,,,Oreca 07 - Gibson,G,107494,5981,,5626,256,,,,DUQUEINE TEAM,,Doriane,PIN,S,,FRA,,10112,,,,,Julien,Andlauer,G,,FRA,,9192,,,,,Richard,Verschoor,G,,NED,,43064,,,,,,,,,,,,,,,,,,,,,,,
25,343,19,3:37.625,+10.614,+0.185,225.4,36,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,107468,402,,5626,256,,,,INTER EUROPOL,,Bijoy,Garg,S,,USA,,10912,,,,,Reshad,de Gerus,G,,FRA,DGE,10416,,,,,Nicolas,Muller,P,,SUI,,11039,,,,,,,,,,,,,,,,,,,,,,,
26,37,35,3:37.751,+10.740,+0.126,225.3,35,CLX Motorsport,LMP2,,,Oreca 07 - Gibson,G,107500,7467,,5626,256,,,,CLX MOTORSPORT,,Adrien,Closmenil,S,,FRA,,11356,,,,,Ian,Aguilera,S,,MEX,,11035,,,,,Theodor,Jensen,S,,DEN,TJE,11626,,,,,,,,,,,,,,,,,,,,,,,
27,22,8,3:37.850,+10.839,+0.099,225.2,32,United Autosports,LMP2,,,Oreca 07 - Gibson,G,107486,532,,5626,256,,,,UNITED,,Rasmus,Lindh,S,,SWE,,11623,,,,,Gregoire,Saucy,G,,SUI,,11255,,,,,Mikkel,Jensen,P,,DEN,JSN,8276,,,,,Laurens,Vanthoor,P,,BEL,,,,,,,,,,,,,,,,,,,
28,26,6,3:38.003,+10.992,+0.153,225.0,25,Vector Sport,LMP2,,,Oreca 07 - Gibson,G,107490,6154,,5626,256,,,,VECTOR SPORT,,Ryan,Cullen,S,,IRL,,492,,,,,Vladislav,Lomko,G,,GRN,,10868,,,,,Pietro,Fittipaldi,P,,BRA,,9171,,,,,,,,,,,,,,,,,,,,,,,
29,48,32,3:38.133,+11.122,+0.130,224.9,32,RD Limited,LMP2,P/A,,Oreca 07 - Gibson,G,107504,7465,,5626,256,,,,RD LIMITED,,Fred,Poordad,B,,USA,,10335,,,,,Tristan,Vautier,G,,FRA,,44136,,,,,Romain,Dumas,P,,FRA,,44135,,,,,,,,,,,,,,,,,,,,,,,
30,28,29,3:38.158,+11.147,+0.025,224.8,30,IDEC SPORT,LMP2,,,Oreca 07 - Gibson,G,107492,522,,5626,256,,,,IDEC SPORT,,Paul,Lafargue,S,,FRA,,1552,,,,,Valerio,Rinicella,S,,ITA,,11664,,,,,Job,van Uitert,G,,NED,VUI,8984,,,,,,,,,,,,,,,,,,,,,,,
