team,unique_drivers,total_events,series_count,total_laps,first_year,last_year,last_class,last_series
Racing Team Nederland,7,10,3,3724,2021,2022,LMP2,imsa
ARC Bratislava,12,9,1,2187,2021,2022,LMP2,wec
ASTON MARTIN THOR Team,4,9,1,2206,2025,2026,GTP,imsa
Alegra Motorsports,8,9,1,2761,2021,2022,GTD,imsa
Konica Minolta Acura ARX-06,4,9,1,2130,2023,2023,GTP,imsa
Meyer Shank Racing w/ Curb Agajanian,4,9,1,2174,2023,2023,GTP,imsa
Proton Competition Mustang Sampling,7,9,1,4191,2024,2024,GTP,imsa
WINWARD RACING,8,9,1,2513,2024,2026,GTD,imsa
Whelen Cadillac Racing,5,9,2,1469,2024,2024,GTP,imsa
Aston Martin Thor Team,6,8,1,3428,2025,2025,HYPERCAR,wec
Cadillac Chip Ganassi Racing,4,8,1,2481,2021,2021,DPi,imsa
Cadillac Hertz Team JOTA,6,8,1,3719,2025,2025,HYPERCAR,wec
"D'Station Racing",4,8,1,1592,2024,2024,LMGT3,wec
G-Drive Racing,9,8,2,2185,2021,2021,LMP2,elms
GRT Grasser Racing Team,8,8,1,1252,2021,2021,GTD,imsa
Manthey 1ST Phorm,3,8,1,1685,2025,2025,LMGT3,wec
Manthey EMA,3,8,1,1646,2024,2024,LMGT3,wec
Manthey PureRxcing,3,8,1,1674,2024,2024,LMGT3,wec
Mustang Sampling / JDC-Miller MotorSports,3,8,1,2329,2021,2021,DPi,imsa
Park Place Motorsports,5,8,1,734,2018,2019,GTD,imsa
Pratt Miller Motorsports,6,8,1,2438,2025,2026,LMP2,imsa
The Bend Team WRT,4,8,1,1405,2025,2025,LMGT3,wec
Whelen Engineering Cadillac Racing,4,8,1,3831,2023,2024,GTP,imsa
3GT Racing,5,7,1,1293,2018,2018,GTD,imsa
AIM Vasser Sullivan,4,7,1,1375,2019,2019,GTD,imsa
Alpine Elf Team,6,7,1,3027,2023,2023,LMP2,wec
CORE Autosport,4,7,1,2593,2022,2022,LMP3,imsa
Floyd Vanwall Racing Team,6,7,1,1253,2023,2023,HYPERCAR,wec
GRT Magnus,2,7,1,506,2020,2020,GTD,imsa
Heinricher Racing w/Meyer Shank Racing,4,7,1,709,2019,2019,GTD,imsa
MDK by High Class Racing,4,7,1,1921,2024,2024,LMP2,imsa
Mercedes-AMG Team Riley Motorsports,2,7,1,706,2018,2018,GTD,imsa
NTE/SSR,6,7,1,1959,2022,2022,GTD,imsa
Racers Edge Motorsports with WTR,6,7,1,1867,2022,2023,GTD,imsa
Sun Energy 1,9,7,1,2872,2021,2024,GTDPRO,imsa
TDS RACING,4,7,1,1904,2025,2025,LMP2,imsa
TDS Racing x Vaillante,4,7,2,1079,2022,2022,LMP2,elms
Team Hardpoint EBM,6,7,1,1909,2021,2021,GTD,imsa
VDS Panis Racing,4,7,2,1057,2025,2025,LMP2,elms
inception racing,5,7,1,2598,2022,2022,GTD,imsa
1 AIM Villorba Corse,3,6,1,382,2021,2021,LMP3,elms
360 Racing,3,6,1,490,2022,2022,LMP3,elms
AIM VASSER SULLIVAN,5,6,1,984,2020,2020,GTD,imsa
Acura Team Penske,4,6,1,1165,2019,2019,DPi,imsa
Alpine ELF Team,3,6,1,1326,2022,2022,HYPERCAR,wec
Andretti Motorsports,4,6,1,3360,2024,2024,GTD,imsa
CLX - Pure Rxcing,3,6,2,744,2025,2025,LMP2,elms
CLX Motorsport,7,6,1,1319,2025,2025,LMP3,elms
Core Autosport,4,6,1,2029,2021,2021,LMP3,imsa
Formula Racing,3,6,1,617,2024,2024,LMGT3,elms
Forty7 Motorsports,13,6,1,2328,2021,2022,LMP3,imsa
Graff,8,6,1,2043,2021,2021,LMP2,elms
Grid Motorsport by TF,3,6,1,675,2024,2024,LMGT3,elms
Heinricher Racing w/MSR Curb-Agajanian,2,6,1,494,2020,2020,GTD,imsa
Inter Europol by PR1 Mathiasen Motorsports,3,6,1,1305,2024,2024,LMP2,imsa
Konica Minolta Cadillac DPi-V.R.,2,6,1,538,2019,2019,DPi,imsa
M Racing,2,6,1,629,2025,2025,LMP3,elms
MV2S Racing,3,6,1,688,2021,2021,LMP3,elms
Mazda Team Joest,5,6,1,1110,2019,2019,DPi,imsa
Mustang Sampling Racing,2,6,1,576,2019,2019,DPi,imsa
"Mühlner Motorsport",3,6,1,584,2022,2022,LMP2,elms
Prema Orlen Team,3,6,1,1311,2022,2022,LMP2,wec
Realteam Racing,4,6,2,1541,2021,2021,LMP2,wec
Realteam by WRT,3,6,1,1305,2022,2022,LMP2,wec
Richard Mille by TDS,3,6,1,667,2024,2024,LMP2 Pro/Am,elms
Riley Motorsports - Team AMG,2,6,1,587,2019,2019,GTD,imsa
VASSER SULLIVAN,6,6,1,1378,2021,2021,GTD,imsa
WIN Autosport,8,6,1,2468,2021,2021,LMP2,imsa
WRT,4,6,1,1220,2022,2022,LMP2,wec
van der Steur Racing,7,6,1,2193,2025,2026,GTD,imsa
Alpine Elf Matmut,3,5,1,1458,2021,2021,HYPERCAR,wec
Automobili Lamborghini Squadra Corse,4,5,1,1138,2025,2025,GTP,imsa
Ave Motorsports,7,5,1,780,2023,2023,LMP3,imsa
CORE autosport,2,5,1,466,2019,2019,DPi,imsa
Cetilar Racing,6,5,1,2976,2021,2022,GTD,imsa
Graff Racing,6,5,2,1008,2022,2023,LMP2,wec
Isotta Fraschini,3,5,1,937,2024,2024,HYPERCAR,wec
Korthoff Competition Motors,5,5,1,1247,2025,2025,GTD,imsa
MLT Motorsports,6,5,1,571,2022,2023,LMP3,imsa
NTE Sport,10,5,1,1733,2021,2023,GTD,imsa
Racing Experience,4,5,1,563,2021,2021,LMP3,elms
ACURA TEAM PENSKE,4,4,1,727,2020,2020,DPi,imsa
AF CORSE,4,4,1,2304,2022,2022,GTD,imsa
Ally Cadillac,4,4,1,2529,2022,2022,DPi,imsa
Ally Cadillac Racing,4,4,1,1966,2021,2021,DPi,imsa
Crucial Motorsports,4,4,1,1107,2022,2022,GTD,imsa
FastMD Racing,7,4,1,1412,2021,2023,LMP3,imsa
GMG Racing,3,4,1,528,2021,2022,GTD,imsa
Gilbert/Korthoff Motorsports,4,4,1,390,2021,2021,GTD,imsa
Juncos Racing,3,4,1,352,2019,2019,DPi,imsa
Konica Minolta Cadillac DPi-V.R,2,4,1,392,2020,2020,DPi,imsa
Muehlner Motorsports America,14,4,1,3219,2021,2022,LMP3,imsa
Mustang Sampling Racing / JDC-Miller MotorSports,3,4,1,391,2020,2020,DPi,imsa
75 Express,7,3,1,935,2025,2026,GTDPRO,imsa
Cadillac Wayne Taylor Racing,9,3,1,3230,2025,2026,GTP,imsa
Starworks Motorsport,2,3,1,242,2019,2019,GTD,imsa
Team Penske,3,3,1,663,2022,2022,LMP2,wec
CROWDSTRIKE RACING BY APR,3,2,1,264,2024,2024,LMP2,imsa
DragonSpeed USA LLC,8,2,1,917,2020,2021,LMP2,imsa
GetSpeed,6,2,1,1375,2025,2026,GTDPRO,imsa
Gilbert Korthoff Motorsports,6,2,1,1845,2022,2022,GTD,imsa
Manthey,6,2,2,1002,2025,2026,GTDPRO,imsa
PR1 Motorsports,4,2,2,238,2020,2021,LMP2,wec
Squadra Corse Garage Italia,3,2,1,159,2018,2018,GTD,imsa
SunEnergy1 Racing,3,2,1,163,2018,2018,GTD,imsa
TR3 Racing,8,2,1,2683,2022,2022,GTDPRO,imsa
TeamTGM,4,2,1,1999,2021,2022,GTD,imsa
13 Autosport,4,1,1,661,2026,2026,GTD,imsa
