driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
dennis andersen,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1102,-13,45,1357,Bronze
dwight merriman,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1003,12,36,1429,Bronze
ed jones,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1534,-24,31,699,Gold
george kurtz,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1360,17,42,477,Bronze
giedo van der garde,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1715,-18,65,1658,Platinum
louis deletraz,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1746,-21,73,2674,Gold
mikkel jensen,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1856,65,68,1593,Platinum
paul loup chatin,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1716,-39,72,2390,Gold
rodrigo sales,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1282,32,43,508,Bronze
ryan dalziel,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1622,-6,70,1839,Gold
steven thomas,2023-09-17 13:10:00,Indianapolis,imsa,LMP2,1274,14,42,1745,Bronze
alessio rovera,2023-09-24 11:30:00,Spa,elms,LMP2,1643,4,34,747,Platinum
alexander lynn,2023-09-24 11:30:00,Spa,elms,LMP2,1782,4,25,703,Platinum
alexander mattschull,2023-09-24 11:30:00,Spa,elms,LMP2,1305,-40,28,97,Bronze
alexandre coigny,2023-09-24 11:30:00,Spa,elms,LMP2,1128,-6,25,465,Bronze
andrew meyrick,2023-09-24 11:30:00,Spa,elms,LMP2,1540,152,39,173,Gold
benjamin hanley,2023-09-24 11:30:00,Spa,elms,LMP2,1772,5,12,2122,Gold
bent viscaal,2023-09-24 11:30:00,Spa,elms,LMP2,1647,17,38,1147,Gold
charlie eastwood,2023-09-24 11:30:00,Spa,elms,LMP2,1727,-4,29,569,Gold
daniel schneider,2023-09-24 11:30:00,Spa,elms,LMP2,1158,95,24,135,Bronze
francois perrodo,2023-09-24 11:30:00,Spa,elms,LMP2,1312,12,29,863,Bronze
fred poordad,2023-09-24 11:30:00,Spa,elms,LMP2,1009,26,26,279,Bronze
giammaria bruni,2023-09-24 11:30:00,Spa,elms,LMP2,1588,-20,7,330,Platinum
giorgio roda,2023-09-24 11:30:00,Spa,elms,LMP2,1372,-28,23,144,Bronze
henrik hedman,2023-09-24 11:30:00,Spa,elms,LMP2,1052,20,29,925,Bronze
ian rodriguez,2023-09-24 11:30:00,Spa,elms,LMP2,1597,34,25,266,Silver
james allen,2023-09-24 11:30:00,Spa,elms,LMP2,1623,-6,27,1638,Gold
job van uitert,2023-09-24 11:30:00,Spa,elms,LMP2,1741,2,26,1462,Gold
jonathan aberdein,2023-09-24 11:30:00,Spa,elms,LMP2,1732,-10,18,736,Gold
jose maria lopez,2023-09-24 11:30:00,Spa,elms,LMP2,1685,-55,27,155,Platinum
juan pablo montoya,2023-09-24 11:30:00,Spa,elms,LMP2,1595,21,34,1140,Platinum
kyffin simpson,2023-09-24 11:30:00,Spa,elms,LMP2,1755,4,36,523,Gold
laurents horr,2023-09-24 11:30:00,Spa,elms,LMP2,1692,-36,36,435,Gold
louis deletraz,2023-09-24 11:30:00,Spa,elms,LMP2,1751,4,25,2699,Gold
malthe jakobsen,2023-09-24 11:30:00,Spa,elms,LMP2,1733,29,30,287,Gold
manuel maldonado,2023-09-24 11:30:00,Spa,elms,LMP2,1526,-56,35,541,Silver
marino sato,2023-09-24 11:30:00,Spa,elms,LMP2,1631,-27,44,174,Gold
mathias beche,2023-09-24 11:30:00,Spa,elms,LMP2,1662,2,33,1028,Gold
matthieu vaxiviere,2023-09-24 11:30:00,Spa,elms,LMP2,1672,15,25,912,Gold
nathanael berthon,2023-09-24 11:30:00,Spa,elms,LMP2,1586,-16,31,166,Gold
neel jani,2023-09-24 11:30:00,Spa,elms,LMP2,1715,-109,25,282,Platinum
nelson piquet jr,2023-09-24 11:30:00,Spa,elms,LMP2,1597,84,25,117,Platinum
nicolas lapierre,2023-09-24 11:30:00,Spa,elms,LMP2,1651,5,33,1326,Platinum
nicolas pino,2023-09-24 11:30:00,Spa,elms,LMP2,1578,-104,26,274,Silver
oliver jarvis,2023-09-24 11:30:00,Spa,elms,LMP2,1679,-38,18,1291,Platinum
olli caldwell,2023-09-24 11:30:00,Spa,elms,LMP2,1465,19,29,520,Gold
paul lafargue,2023-09-24 11:30:00,Spa,elms,LMP2,1475,-11,26,912,Silver
paul loup chatin,2023-09-24 11:30:00,Spa,elms,LMP2,1710,-6,25,2415,Gold
philip hanson,2023-09-24 11:30:00,Spa,elms,LMP2,1717,11,23,2131,Gold
rene binder,2023-09-24 11:30:00,Spa,elms,LMP2,1568,-40,34,1117,Gold
reshad de gerus,2023-09-24 11:30:00,Spa,elms,LMP2,1602,0,25,434,Gold
rodrigo sales,2023-09-24 11:30:00,Spa,elms,LMP2,1289,6,30,538,Bronze
rui andrade,2023-09-24 11:30:00,Spa,elms,LMP2,1518,8,34,1217,Silver
salih yoluc,2023-09-24 11:30:00,Spa,elms,LMP2,1443,24,34,840,Silver
sebastian alvarez,2023-09-24 11:30:00,Spa,elms,LMP2,1530,60,25,149,Silver
sebastian montoya,2023-09-24 11:30:00,Spa,elms,LMP2,1604,11,25,430,Silver
tatiana calderon,2023-09-24 11:30:00,Spa,elms,LMP2,1483,6,35,517,Silver
tijmen van der helm,2023-09-24 11:30:00,Spa,elms,LMP2,1609,-5,27,915,Gold
tom van rompuy,2023-09-24 11:30:00,Spa,elms,LMP2,1300,26,32,207,Bronze
tristan vautier,2023-09-24 11:30:00,Spa,elms,LMP2,1626,-13,24,295,Gold
vladislav lomko,2023-09-24 11:30:00,Spa,elms,LMP2,1606,-22,36,202,Gold
alexander quinn,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1710,15,140,524,Silver
anders fjordbach,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1418,36,137,1506,Silver
ari balogh,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1177,0,102,102,Bronze
ben keating,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1438,44,107,1418,Bronze
benjamin hanley,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1790,18,145,2267,Gold
christian rasmussen,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1757,-61,140,552,Silver
dennis andersen,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1088,-13,89,1446,Bronze
dwight merriman,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1072,68,97,1526,Bronze
ed jones,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1533,-2,154,853,Gold
emmanuel collard,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1433,-94,144,330,Silver
francois perrodo,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1333,21,102,965,Bronze
george kurtz,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1386,26,97,574,Bronze
giedo van der garde,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1717,2,128,1786,Platinum
john falb,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1301,13,105,866,Bronze
joshua pierson,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1679,2,158,1839,Silver
kyffin simpson,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1657,-98,133,656,Silver
matthieu vaxiviere,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1626,-46,144,1056,Gold
mikkel jensen,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1843,-13,115,1708,Platinum
nolan siegel,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1733,-30,149,365,Silver
paul loup chatin,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1705,-5,144,2559,Gold
ryan dalziel,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1645,22,146,1985,Gold
scott huffaker,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1651,20,50,1172,Silver
scott mclaughlin,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1539,-125,133,433,Gold
steven thomas,2023-10-14 11:40:00,Road Atlanta,imsa,LMP2,1323,49,97,1842,Bronze
alexander lynn,2023-10-20 14:00:00,Portimao,elms,LMP2,1762,-20,45,748,Platinum
alexander mattschull,2023-10-20 14:00:00,Portimao,elms,LMP2,1198,-107,45,142,Bronze
alexandre coigny,2023-10-20 14:00:00,Portimao,elms,LMP2,1145,17,33,498,Bronze
andrew meyrick,2023-10-20 14:00:00,Portimao,elms,LMP2,1540,0,34,207,Gold
ben barnicoat,2023-10-20 14:00:00,Portimao,elms,LMP2,1687,44,30,184,Platinum
benjamin hanley,2023-10-20 14:00:00,Portimao,elms,LMP2,1757,-33,29,2296,Gold
charlie eastwood,2023-10-20 14:00:00,Portimao,elms,LMP2,1674,-53,35,604,Gold
daniel schneider,2023-10-20 14:00:00,Portimao,elms,LMP2,1184,26,32,167,Bronze
francois perrodo,2023-10-20 14:00:00,Portimao,elms,LMP2,1336,3,48,1013,Bronze
fred poordad,2023-10-20 14:00:00,Portimao,elms,LMP2,981,-28,30,309,Bronze
giorgio roda,2023-10-20 14:00:00,Portimao,elms,LMP2,1369,-3,35,179,Bronze
henrik hedman,2023-10-20 14:00:00,Portimao,elms,LMP2,1062,10,32,957,Bronze
ian rodriguez,2023-10-20 14:00:00,Portimao,elms,LMP2,1634,36,43,309,Silver
jack hawksworth,2023-10-20 14:00:00,Portimao,elms,LMP2,1540,37,34,138,Gold
james allen,2023-10-20 14:00:00,Portimao,elms,LMP2,1622,-1,37,1675,Gold
job van uitert,2023-10-20 14:00:00,Portimao,elms,LMP2,1742,1,44,1506,Gold
jonas ried,2023-10-20 14:00:00,Portimao,elms,LMP2,1387,-18,23,159,Silver
jonathan aberdein,2023-10-20 14:00:00,Portimao,elms,LMP2,1711,-21,27,763,Gold
jose maria lopez,2023-10-20 14:00:00,Portimao,elms,LMP2,1712,27,42,197,Platinum
juan pablo montoya,2023-10-20 14:00:00,Portimao,elms,LMP2,1595,1,40,1180,Platinum
kyffin simpson,2023-10-20 14:00:00,Portimao,elms,LMP2,1671,14,38,694,Gold
laurents horr,2023-10-20 14:00:00,Portimao,elms,LMP2,1674,-18,39,474,Gold
louis deletraz,2023-10-20 14:00:00,Portimao,elms,LMP2,1754,3,54,2753,Gold
malthe jakobsen,2023-10-20 14:00:00,Portimao,elms,LMP2,1722,-10,53,340,Gold
manuel maldonado,2023-10-20 14:00:00,Portimao,elms,LMP2,1546,19,37,578,Silver
marino sato,2023-10-20 14:00:00,Portimao,elms,LMP2,1655,23,30,204,Gold
mathias beche,2023-10-20 14:00:00,Portimao,elms,LMP2,1676,14,42,1070,Gold
matthieu vaxiviere,2023-10-20 14:00:00,Portimao,elms,LMP2,1596,-30,41,1097,Gold
nathanael berthon,2023-10-20 14:00:00,Portimao,elms,LMP2,1600,14,36,202,Gold
neel jani,2023-10-20 14:00:00,Portimao,elms,LMP2,1652,-63,43,325,Platinum
nelson piquet jr,2023-10-20 14:00:00,Portimao,elms,LMP2,1593,-4,53,170,Platinum
nicolas lapierre,2023-10-20 14:00:00,Portimao,elms,LMP2,1623,-28,33,1359,Platinum
nicolas pino,2023-10-20 14:00:00,Portimao,elms,LMP2,1585,7,30,304,Silver
oliver jarvis,2023-10-20 14:00:00,Portimao,elms,LMP2,1691,13,53,1344,Platinum
olli caldwell,2023-10-20 14:00:00,Portimao,elms,LMP2,1531,67,57,577,Gold
paul lafargue,2023-10-20 14:00:00,Portimao,elms,LMP2,1493,18,34,946,Silver
paul loup chatin,2023-10-20 14:00:00,Portimao,elms,LMP2,1705,1,46,2605,Gold
philip hanson,2023-10-20 14:00:00,Portimao,elms,LMP2,1705,-12,37,2168,Gold
rene binder,2023-10-20 14:00:00,Portimao,elms,LMP2,1582,14,47,1164,Gold
reshad de gerus,2023-10-20 14:00:00,Portimao,elms,LMP2,1603,1,30,464,Gold
rodrigo sales,2023-10-20 14:00:00,Portimao,elms,LMP2,1315,27,48,586,Bronze
rui andrade,2023-10-20 14:00:00,Portimao,elms,LMP2,1522,5,35,1252,Silver
salih yoluc,2023-10-20 14:00:00,Portimao,elms,LMP2,1426,-16,29,869,Silver
sebastian alvarez,2023-10-20 14:00:00,Portimao,elms,LMP2,1577,47,38,187,Silver
sebastian montoya,2023-10-20 14:00:00,Portimao,elms,LMP2,1652,48,46,476,Silver
tatiana calderon,2023-10-20 14:00:00,Portimao,elms,LMP2,1474,-10,29,546,Silver
tijmen van der helm,2023-10-20 14:00:00,Portimao,elms,LMP2,1595,-14,39,954,Gold
tom van rompuy,2023-10-20 14:00:00,Portimao,elms,LMP2,1318,18,44,251,Bronze
tristan vautier,2023-10-20 14:00:00,Portimao,elms,LMP2,1635,9,54,349,Gold
vladislav lomko,2023-10-20 14:00:00,Portimao,elms,LMP2,1607,2,48,250,Gold
alexander lynn,2023-10-22 13:00:00,Portimao,elms,LMP2,1763,1,42,790,Platinum
alexander mattschull,2023-10-22 13:00:00,Portimao,elms,LMP2,1273,75,23,165,Bronze
alexandre coigny,2023-10-22 13:00:00,Portimao,elms,LMP2,1070,-74,22,520,Bronze
andrew meyrick,2023-10-22 13:00:00,Portimao,elms,LMP2,1567,28,28,235,Gold
ben barnicoat,2023-10-22 13:00:00,Portimao,elms,LMP2,1738,51,48,232,Platinum
benjamin hanley,2023-10-22 13:00:00,Portimao,elms,LMP2,1748,-9,45,2341,Gold
bent viscaal,2023-10-22 13:00:00,Portimao,elms,LMP2,1634,-13,46,1193,Gold
charlie eastwood,2023-10-22 13:00:00,Portimao,elms,LMP2,1665,-9,28,632,Gold
daniel schneider,2023-10-22 13:00:00,Portimao,elms,LMP2,1038,-146,22,189,Bronze
francois perrodo,2023-10-22 13:00:00,Portimao,elms,LMP2,1329,-7,22,1035,Bronze
fred poordad,2023-10-22 13:00:00,Portimao,elms,LMP2,989,8,22,331,Bronze
giorgio roda,2023-10-22 13:00:00,Portimao,elms,LMP2,1385,16,23,202,Bronze
henrik hedman,2023-10-22 13:00:00,Portimao,elms,LMP2,1042,-19,22,979,Bronze
ian rodriguez,2023-10-22 13:00:00,Portimao,elms,LMP2,1664,30,32,341,Silver
jack hawksworth,2023-10-22 13:00:00,Portimao,elms,LMP2,1644,103,31,169,Gold
james allen,2023-10-22 13:00:00,Portimao,elms,LMP2,1613,-10,26,1701,Gold
job van uitert,2023-10-22 13:00:00,Portimao,elms,LMP2,1747,5,42,1548,Gold
jonas ried,2023-10-22 13:00:00,Portimao,elms,LMP2,1301,-85,27,186,Silver
jonathan aberdein,2023-10-22 13:00:00,Portimao,elms,LMP2,1700,-11,46,809,Gold
jose maria lopez,2023-10-22 13:00:00,Portimao,elms,LMP2,1686,-26,40,237,Platinum
juan pablo montoya,2023-10-22 13:00:00,Portimao,elms,LMP2,1606,11,27,1207,Platinum
kyffin simpson,2023-10-22 13:00:00,Portimao,elms,LMP2,1687,16,28,722,Gold
laurents horr,2023-10-22 13:00:00,Portimao,elms,LMP2,1718,44,27,501,Gold
louis deletraz,2023-10-22 13:00:00,Portimao,elms,LMP2,1755,1,46,2799,Gold
malthe jakobsen,2023-10-22 13:00:00,Portimao,elms,LMP2,1761,38,47,387,Gold
manuel maldonado,2023-10-22 13:00:00,Portimao,elms,LMP2,1577,31,28,606,Silver
marino sato,2023-10-22 13:00:00,Portimao,elms,LMP2,1576,-78,26,230,Gold
mathias beche,2023-10-22 13:00:00,Portimao,elms,LMP2,1670,-5,27,1097,Gold
matthieu vaxiviere,2023-10-22 13:00:00,Portimao,elms,LMP2,1617,21,26,1123,Gold
nathanael berthon,2023-10-22 13:00:00,Portimao,elms,LMP2,1595,-5,46,248,Gold
neel jani,2023-10-22 13:00:00,Portimao,elms,LMP2,1639,-13,44,369,Platinum
nelson piquet jr,2023-10-22 13:00:00,Portimao,elms,LMP2,1592,-1,42,212,Platinum
nicolas lapierre,2023-10-22 13:00:00,Portimao,elms,LMP2,1653,30,27,1386,Platinum
nicolas pino,2023-10-22 13:00:00,Portimao,elms,LMP2,1647,61,26,330,Silver
oliver jarvis,2023-10-22 13:00:00,Portimao,elms,LMP2,1687,-4,43,1387,Platinum
olli caldwell,2023-10-22 13:00:00,Portimao,elms,LMP2,1571,40,28,605,Gold
paul lafargue,2023-10-22 13:00:00,Portimao,elms,LMP2,1499,6,27,973,Silver
paul loup chatin,2023-10-22 13:00:00,Portimao,elms,LMP2,1679,-26,40,2645,Gold
philip hanson,2023-10-22 13:00:00,Portimao,elms,LMP2,1726,21,27,2195,Gold
rene binder,2023-10-22 13:00:00,Portimao,elms,LMP2,1603,22,26,1190,Gold
reshad de gerus,2023-10-22 13:00:00,Portimao,elms,LMP2,1554,-49,26,490,Gold
rodrigo sales,2023-10-22 13:00:00,Portimao,elms,LMP2,1319,4,24,610,Bronze
rui andrade,2023-10-22 13:00:00,Portimao,elms,LMP2,1534,12,22,1274,Silver
salih yoluc,2023-10-22 13:00:00,Portimao,elms,LMP2,1417,-9,22,891,Silver
sebastian alvarez,2023-10-22 13:00:00,Portimao,elms,LMP2,1508,-69,26,213,Silver
sebastian montoya,2023-10-22 13:00:00,Portimao,elms,LMP2,1641,-10,47,523,Silver
tatiana calderon,2023-10-22 13:00:00,Portimao,elms,LMP2,1435,-39,24,570,Silver
tijmen van der helm,2023-10-22 13:00:00,Portimao,elms,LMP2,1565,-30,26,980,Gold
tom van rompuy,2023-10-22 13:00:00,Portimao,elms,LMP2,1330,12,24,275,Bronze
tristan vautier,2023-10-22 13:00:00,Portimao,elms,LMP2,1612,-23,42,391,Gold
vladislav lomko,2023-10-22 13:00:00,Portimao,elms,LMP2,1671,64,28,278,Gold
albert costa,2023-11-04 14:00:00,Bahrain,wec,LMP2,1781,36,129,614,Platinum
andré negrão,2023-11-04 14:00:00,Bahrain,wec,LMP2,1515,-14,85,594,Gold
bent viscaal,2023-11-04 14:00:00,Bahrain,wec,LMP2,1658,23,101,1294,Gold
charles milesi,2023-11-04 14:00:00,Bahrain,wec,LMP2,1728,-36,87,1673,Platinum
daniil kvyat,2023-11-04 14:00:00,Bahrain,wec,LMP2,1582,45,77,524,Platinum
david heinemeier hansson,2023-11-04 14:00:00,Bahrain,wec,LMP2,1454,-23,61,672,Silver
doriane pin,2023-11-04 14:00:00,Bahrain,wec,LMP2,1524,74,59,337,Silver
fabio scherer,2023-11-04 14:00:00,Bahrain,wec,LMP2,1586,6,52,1940,Gold
ferdinand habsburg,2023-11-04 14:00:00,Bahrain,wec,LMP2,1769,1,88,1932,Gold
filip ugran,2023-11-04 14:00:00,Bahrain,wec,LMP2,1662,43,60,472,Silver
filipe albuquerque,2023-11-04 14:00:00,Bahrain,wec,LMP2,1769,7,88,1504,Platinum
frederick lubin,2023-11-04 14:00:00,Bahrain,wec,LMP2,1584,41,64,396,Silver
gabriel aubry,2023-11-04 14:00:00,Bahrain,wec,LMP2,1698,108,86,1829,Gold
jakub smiechowski,2023-11-04 14:00:00,Bahrain,wec,LMP2,1429,8,56,987,Silver
joshua pierson,2023-11-04 14:00:00,Bahrain,wec,LMP2,1671,-8,63,1902,Silver
juan manuel correa,2023-11-04 14:00:00,Bahrain,wec,LMP2,1565,28,77,402,Silver
julien canal,2023-11-04 14:00:00,Bahrain,wec,LMP2,1473,16,64,1253,Silver
louis deletraz,2023-11-04 14:00:00,Bahrain,wec,LMP2,1774,19,86,2885,Gold
matthias kaiser,2023-11-04 14:00:00,Bahrain,wec,LMP2,1418,7,66,579,Silver
matthieu vaxiviere,2023-11-04 14:00:00,Bahrain,wec,LMP2,1584,-33,86,1209,Gold
memo rojas,2023-11-04 14:00:00,Bahrain,wec,LMP2,1304,1,63,703,Silver
mirko bortolotti,2023-11-04 14:00:00,Bahrain,wec,LMP2,1749,7,101,461,Platinum
oliver jarvis,2023-11-04 14:00:00,Bahrain,wec,LMP2,1680,-7,84,1471,Platinum
oliver rasmussen,2023-11-04 14:00:00,Bahrain,wec,LMP2,1686,-28,110,1127,Gold
olli caldwell,2023-11-04 14:00:00,Bahrain,wec,LMP2,1495,-76,88,693,Gold
philip hanson,2023-11-04 14:00:00,Bahrain,wec,LMP2,1701,-25,85,2280,Gold
pietro fittipaldi,2023-11-04 14:00:00,Bahrain,wec,LMP2,1675,-32,67,1426,Platinum
robert kubica,2023-11-04 14:00:00,Bahrain,wec,LMP2,1797,1,88,1449,Platinum
robin frijns,2023-11-04 14:00:00,Bahrain,wec,LMP2,1797,-14,86,1676,Platinum
rui andrade,2023-11-04 14:00:00,Bahrain,wec,LMP2,1516,-18,64,1338,Silver
ryan cullen,2023-11-04 14:00:00,Bahrain,wec,LMP2,1497,-1,64,831,Silver
sean gelael,2023-11-04 14:00:00,Bahrain,wec,LMP2,1631,25,64,1298,Silver
tom blomqvist,2023-11-04 14:00:00,Bahrain,wec,LMP2,1760,-55,90,810,Platinum
alexander quinn,2024-01-27 13:40:00,Daytona,imsa,LMP2,1569,-141,225,749,Gold
alexander quinn,2024-01-27 13:40:00,Daytona,imsa,LMP2,1601,32,78,827,Gold
alexander quinn,2024-01-27 13:40:00,Daytona,imsa,LMP2,1618,17,134,961,Gold
alexander quinn,2024-01-27 13:40:00,Daytona,imsa,LMP2,1549,-70,225,1186,Gold
ben keating,2024-01-27 13:40:00,Daytona,imsa,LMP2,1451,13,146,1564,Bronze
ben keating,2024-01-27 13:40:00,Daytona,imsa,LMP2,1465,14,123,1687,Bronze
ben keating,2024-01-27 13:40:00,Daytona,imsa,LMP2,1464,-2,146,1833,Bronze
ben keating,2024-01-27 13:40:00,Daytona,imsa,LMP2,1462,-1,146,1979,Bronze
ben keating,2024-01-27 13:40:00,Daytona,imsa,LMP2,1462,0,19,1998,Bronze
benjamin hanley,2024-01-27 13:40:00,Daytona,imsa,LMP2,1779,31,207,2548,Gold
benjamin hanley,2024-01-27 13:40:00,Daytona,imsa,LMP2,1818,39,51,2599,Gold
benjamin hanley,2024-01-27 13:40:00,Daytona,imsa,LMP2,1834,16,99,2698,Gold
benjamin hanley,2024-01-27 13:40:00,Daytona,imsa,LMP2,1838,4,207,2905,Gold
benjamin hanley,2024-01-27 13:40:00,Daytona,imsa,LMP2,1854,17,36,2941,Gold
bijoy garg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1484,0,50,50,Silver
bijoy garg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1463,-21,50,100,Silver
bijoy garg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1462,-1,50,150,Silver
bijoy garg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1463,2,50,200,Silver
bijoy garg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1454,-9,50,250,Silver
christian rasmussen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1900,144,252,804,Gold
christian rasmussen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1904,4,86,890,Gold
christian rasmussen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1931,27,135,1025,Gold
christian rasmussen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1985,53,252,1277,Gold
christian rasmussen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1961,-24,42,1319,Gold
colin braun,2024-01-27 13:40:00,Daytona,imsa,LMP2,1852,417,186,306,Gold
colin braun,2024-01-27 13:40:00,Daytona,imsa,LMP2,1842,-9,22,328,Gold
colin braun,2024-01-27 13:40:00,Daytona,imsa,LMP2,1780,-62,86,414,Gold
colin braun,2024-01-27 13:40:00,Daytona,imsa,LMP2,1839,59,186,600,Gold
connor zilisch,2024-01-27 13:40:00,Daytona,imsa,LMP2,1926,0,203,203,Silver
connor zilisch,2024-01-27 13:40:00,Daytona,imsa,LMP2,1832,-94,76,279,Gold
connor zilisch,2024-01-27 13:40:00,Daytona,imsa,LMP2,1883,51,156,435,Gold
connor zilisch,2024-01-27 13:40:00,Daytona,imsa,LMP2,1897,14,203,638,Silver
connor zilisch,2024-01-27 13:40:00,Daytona,imsa,LMP2,1874,-23,57,695,Gold
daniel goldburg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1274,-80,77,114,Bronze
daniel goldburg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1248,-26,77,191,Bronze
daniel goldburg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1244,-4,77,268,Bronze
daniel goldburg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1243,0,77,345,Bronze
daniel goldburg,2024-01-27 13:40:00,Daytona,imsa,LMP2,1231,-12,77,422,Bronze
dennis andersen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1094,6,54,1500,Bronze
dennis andersen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1088,-6,54,1554,Bronze
dennis andersen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1079,-10,54,1608,Bronze
dennis andersen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1068,-11,54,1662,Bronze
dennis andersen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1089,21,24,1686,Bronze
dwight merriman,2024-01-27 13:40:00,Daytona,imsa,LMP2,1044,-27,141,1667,Bronze
dwight merriman,2024-01-27 13:40:00,Daytona,imsa,LMP2,1007,-38,141,1808,Bronze
dwight merriman,2024-01-27 13:40:00,Daytona,imsa,LMP2,978,-28,141,1949,Bronze
dwight merriman,2024-01-27 13:40:00,Daytona,imsa,LMP2,956,-23,141,2090,Bronze
dwight merriman,2024-01-27 13:40:00,Daytona,imsa,LMP2,960,4,84,2174,Bronze
eric lux,2024-01-27 13:40:00,Daytona,imsa,LMP2,1158,-41,141,801,Bronze
eric lux,2024-01-27 13:40:00,Daytona,imsa,LMP2,1118,-40,141,942,Bronze
eric lux,2024-01-27 13:40:00,Daytona,imsa,LMP2,1091,-27,141,1083,Bronze
eric lux,2024-01-27 13:40:00,Daytona,imsa,LMP2,1072,-20,141,1224,Bronze
eric lux,2024-01-27 13:40:00,Daytona,imsa,LMP2,1059,-12,62,1286,Bronze
felipe fraga,2024-01-27 13:40:00,Daytona,imsa,LMP2,1760,0,223,223,Gold
felipe fraga,2024-01-27 13:40:00,Daytona,imsa,LMP2,1777,17,42,265,Gold
felipe fraga,2024-01-27 13:40:00,Daytona,imsa,LMP2,1737,-40,140,405,Gold
felipe fraga,2024-01-27 13:40:00,Daytona,imsa,LMP2,1765,29,223,628,Gold
felipe fraga,2024-01-27 13:40:00,Daytona,imsa,LMP2,1771,6,36,664,Gold
felipe massa,2024-01-27 13:40:00,Daytona,imsa,LMP2,1616,0,202,202,Platinum
felipe massa,2024-01-27 13:40:00,Daytona,imsa,LMP2,1651,35,93,295,Platinum
felipe massa,2024-01-27 13:40:00,Daytona,imsa,LMP2,1674,23,122,417,Platinum
felipe massa,2024-01-27 13:40:00,Daytona,imsa,LMP2,1672,-2,202,619,Platinum
felipe massa,2024-01-27 13:40:00,Daytona,imsa,LMP2,1699,27,47,666,Platinum
ferdinand habsburg-lothringen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1769,24,200,428,Gold
ferdinand habsburg-lothringen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1816,47,72,500,Gold
ferdinand habsburg-lothringen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1843,27,121,621,Gold
ferdinand habsburg-lothringen,2024-01-27 13:40:00,Daytona,imsa,LMP2,1820,-23,200,821,Gold
gar robinson,2024-01-27 13:40:00,Daytona,imsa,LMP2,1360,0,144,144,Bronze
gar robinson,2024-01-27 13:40:00,Daytona,imsa,LMP2,1336,-23,144,288,Bronze
gar robinson,2024-01-27 13:40:00,Daytona,imsa,LMP2,1333,-3,144,432,Bronze
gar robinson,2024-01-27 13:40:00,Daytona,imsa,LMP2,1328,-5,144,576,Bronze
