driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
giorgio sernagiotto,2021-01-30 15:40:00,Daytona,imsa,LMP2,1428,0,174,174,Silver
john farano,2021-01-30 15:40:00,Daytona,imsa,LMP2,1244,-146,143,175,Bronze
kyle tilley,2021-01-30 15:40:00,Daytona,imsa,LMP2,1586,226,166,255,Silver
matthew bell,2021-01-30 15:40:00,Daytona,imsa,LMP2,1506,0,165,165,Silver
matthieu vaxiviere,2021-01-30 15:40:00,Daytona,imsa,LMP2,1632,0,170,170,Gold
mikkel jensen,2021-01-30 15:40:00,Daytona,imsa,LMP2,1710,33,168,205,Gold
nicolas lapierre,2021-01-30 15:40:00,Daytona,imsa,LMP2,1514,0,165,165,Platinum
paul loup chatin,2021-01-30 15:40:00,Daytona,imsa,LMP2,1932,284,258,295,Gold
rob hodes,2021-01-30 15:40:00,Daytona,imsa,LMP2,1303,-139,39,52,Bronze
roberto lacorte,2021-01-30 15:40:00,Daytona,imsa,LMP2,1291,-265,158,171,Bronze
ryan dalziel,2021-01-30 15:40:00,Daytona,imsa,LMP2,1728,323,213,241,Gold
salih yoluc,2021-01-30 15:40:00,Daytona,imsa,LMP2,1180,-346,167,182,Bronze
scott huffaker,2021-01-30 15:40:00,Daytona,imsa,LMP2,1720,0,181,181,Silver
steven thomas,2021-01-30 15:40:00,Daytona,imsa,LMP2,1246,4,258,286,Bronze
sven muller,2021-01-30 15:40:00,Daytona,imsa,LMP2,1341,0,209,209,Gold
thomas merrill,2021-01-30 15:40:00,Daytona,imsa,LMP2,1489,0,165,165,Bronze
tim buret,2021-01-30 15:40:00,Daytona,imsa,LMP2,1649,0,189,189,Silver
tristan nunez,2021-01-30 15:40:00,Daytona,imsa,LMP2,1605,40,174,194,Gold
ben keating,2021-03-20 10:10:00,Sebring,imsa,LMP2,1398,-42,98,256,Bronze
dwight merriman,2021-03-20 10:10:00,Sebring,imsa,LMP2,1131,-17,83,295,Bronze
gabriel aubry,2021-03-20 10:10:00,Sebring,imsa,LMP2,1706,-69,89,411,Gold
guy smith,2021-03-20 10:10:00,Sebring,imsa,LMP2,1474,0,113,113,Gold
james mcguire,2021-03-20 10:10:00,Sebring,imsa,LMP2,1129,0,87,87,Bronze
john farano,2021-03-20 10:10:00,Sebring,imsa,LMP2,1257,13,81,256,Bronze
kyle tilley,2021-03-20 10:10:00,Sebring,imsa,LMP2,1550,-36,120,375,Silver
mikkel jensen,2021-03-20 10:10:00,Sebring,imsa,LMP2,1801,91,115,320,Gold
ryan dalziel,2021-03-20 10:10:00,Sebring,imsa,LMP2,1763,35,141,382,Gold
scott huffaker,2021-03-20 10:10:00,Sebring,imsa,LMP2,1746,26,131,312,Silver
steven thomas,2021-03-20 10:10:00,Sebring,imsa,LMP2,1304,58,43,329,Bronze
thomas merrill,2021-03-20 10:10:00,Sebring,imsa,LMP2,1647,159,44,209,Bronze
tim buret,2021-03-20 10:10:00,Sebring,imsa,LMP2,1636,-13,96,285,Silver
tristan nunez,2021-03-20 10:10:00,Sebring,imsa,LMP2,1576,-29,2,196,Gold
wayne boyd,2021-03-20 10:10:00,Sebring,imsa,LMP2,1606,0,131,131,Silver
alexandre coigny,2021-04-18 11:00:00,Barcelona,elms,LMP2,1232,0,41,41,Bronze
antonin borga,2021-04-18 11:00:00,Barcelona,elms,LMP2,1645,0,57,57,Gold
arnold robin,2021-04-18 11:00:00,Barcelona,elms,LMP2,1189,0,49,49,Bronze
charlie eastwood,2021-04-18 11:00:00,Barcelona,elms,LMP2,1533,0,26,26,Gold
diego menchaca,2021-04-18 11:00:00,Barcelona,elms,LMP2,1335,0,52,52,Silver
dwight merriman,2021-04-18 11:00:00,Barcelona,elms,LMP2,1112,-19,29,324,Bronze
ferdinand habsburg,2021-04-18 11:00:00,Barcelona,elms,LMP2,1519,0,35,35,Gold
