event_id,series_code,year,event_name,track,track_country,start_date,race_duration_minutes,race_type,avg_temp_f,track_temp_f,had_rain,rain_pct,total_laps,cars,drivers,classes,avg_pace,fastest_lap,fcy_laps,fcy_pct,wet_laps,class_list
imsa-2022-sebring,imsa,2022,Sebring International Raceway,Sebring,United States,2022-03-17,724,Ultra-Endurance,77.5,74.9,false,0.0,15518,53,156,5,119.091,107.018,1739,11.2,0,"DPi, GTD, GTDPRO, LMP2, LMP3"
wec-2022-sebring,wec,2022,SEBRING,Sebring,United States,2022-03-12,440,Ultra-Endurance,75.2,-665.4,true,9730.0,3506,19,56,2,112.513,109.033,33,0.9,3506,"HYPERCAR, LMP2"
imsa-2022-daytona,imsa,2022,Daytona International Speedway,Daytona,United States,2022-01-21,1440,Ultra-Endurance,57.1,69.3,false,0.0,40782,61,233,5,103.573,93.724,6047,14.8,0,"DPi, GTD, GTDPRO, LMP2, LMP3"
imsa-2021-road-atlanta,imsa,2021,Road Atlanta,Road Atlanta,United States,2021-11-11,602,Ultra-Endurance,65.2,67.9,false,0.0,13672,43,122,5,77.0,69.324,2738,20.0,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-vir,imsa,2021,VIRginia International Raceway,VIR,United States,2021-10-08,162,Sprint,69.6,75.6,false,0.0,1473,18,36,2,105.657,100.920,106,7.2,0,"GTD, GTLM"
imsa-2021-vir,imsa,2021,VIRginia International Raceway,VIR,United States,2021-10-08,162,Sprint,69.6,75.6,false,0.0,1473,18,36,2,105.657,100.920,106,7.2,0,"GTD, GTLM"
imsa-2021-long-beach,imsa,2021,Long Beach Street Circuit,Long Beach,United States,2021-09-24,102,Sprint,71.0,102.4,false,0.0,1861,26,51,3,79.174,72.661,96,5.2,0,"DPi, GTD, GTLM"
imsa-2021-laguna-seca,imsa,2021,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2021-09-10,162,Sprint,68.5,102.3,false,0.0,2668,24,48,4,82.457,75.669,96,3.6,0,"DPi, GTD, GTLM, LMP2"
imsa-2021-road-america,imsa,2021,Road America,Road America,United States,2021-08-06,163,Sprint,76.3,85.7,false,0.0,2365,35,68,5,123.753,111.706,221,9.3,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-lime-rock,imsa,2021,Lime Rock Park,Lime Rock,United States,2021-07-16,89,Sprint,84.3,95.5,false,0.0,1563,16,30,2,53.374,50.746,34,2.2,0,"GTD, GTLM"
imsa-2021-watkins-glen,imsa,2021,WeatherTech 240 - WGI,Watkins Glen,United States,2021-06-25,361,Ultra-Endurance,69.5,75.5,false,0.0,8044,41,113,5,102.024,91.363,1130,14.0,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-watkins-glen,imsa,2021,6H - Watkins Glen International,Watkins Glen,United States,2021-06-25,361,Ultra-Endurance,69.5,75.5,false,0.0,8044,41,113,5,102.024,91.363,1130,14.0,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-mid-ohio,imsa,2021,Mid-Ohio Sports Car Course,Mid-Ohio,United States,2021-05-14,162,Sprint,66.2,72.3,false,0.0,2795,25,50,3,79.35,72.188,177,6.3,0,"DPi, GTD, LMP3"
imsa-2021-sebring,imsa,2021,Sebring Sportscar Week,Sebring,United States,2021-03-18,723,Ultra-Endurance,78.2,79.1,false,0.0,11075,37,111,5,116.519,106.151,1396,12.6,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-sebring,imsa,2021,Sebring International Raceway,Sebring,United States,2021-03-18,723,Ultra-Endurance,78.2,79.1,false,0.0,11075,37,111,5,116.519,106.151,1396,12.6,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2021-daytona,imsa,2021,Daytona International Speedway,Daytona,United States,2021-01-22,1440,Ultra-Endurance,61.8,124.2,false,0.0,33029,49,181,5,103.539,94.657,3054,9.2,0,"DPi, GTD, GTLM, LMP2, LMP3"
imsa-2020-laguna-seca,imsa,2020,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2020-10-31,162,Sprint,78.4,100.7,false,0.0,3062,28,56,4,83.776,76.674,0,0.0,0,"DPi, GTD, GTLM, LMP2"
