event_id,series_code,year,event_number,event_name,track,track_id,track_official_name,track_country,track_lat,track_lon,start_date,end_date,session_count,race_count,race_duration_minutes,race_type,avg_air_temp_f,avg_track_temp_f,avg_humidity_pct,had_rain,dry,is_race
imsa-2022-lime-rock,imsa,2022,15,Lime Rock Park,Lime Rock,lime-rock,Lime Rock Park,United States,41.9277,-73.3836,2022-07-15,2022-07-16,5,2343,161,Sprint,80.5,115.3,54.4,false,true,true
imsa-2022-mosport,imsa,2022,13,Canadian Tire Motorsport Park,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2022-07-01,2022-07-03,5,2604,161,Sprint,73.3,75.6,50.4,false,true,true
imsa-2022-watkins-glen,imsa,2022,11,Watkins Glen International,Watkins Glen,watkins-glen,Watkins Glen International,United States,42.3369,-76.9272,2022-06-24,2022-06-26,5,6698,372,Ultra-Endurance,77.2,95.5,57.4,false,true,true
imsa-2022-belle-isle,imsa,2022,10,Belle Isle Street Course,Belle Isle,belle-isle,Detroit Belle Isle Grand Prix,United States,42.3378,-83.0008,2022-06-03,2022-06-04,5,1050,102,Sprint,72.6,99.8,37.3,false,true,true
imsa-2022-mid-ohio,imsa,2022,08,Mid-Ohio Sports Car Course,Mid-Ohio,mid-ohio,Mid-Ohio Sports Car Course,United States,40.6869,-82.6352,2022-05-13,2022-05-15,5,3524,162,Sprint,75.9,103.1,59.3,false,true,true
imsa-2022-laguna-seca,imsa,2022,07,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2022-04-29,2022-05-01,5,3258,162,Sprint,59.9,87.3,64.8,false,true,true
imsa-2022-long-beach,imsa,2022,06,Long Beach Street Circuit,Long Beach,long-beach,Acura Grand Prix of Long Beach,United States,33.7598,-118.189,2022-04-08,2022-04-09,4,1685,102,Sprint,83.4,119.4,39.0,false,true,true
imsa-2022-sebring,imsa,2022,05,Sebring International Raceway,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2022-03-17,2022-03-19,7,15518,724,Ultra-Endurance,77.5,74.9,65.6,false,true,true
wec-2022-sebring,wec,2022,01,SEBRING,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2022-03-12,2022-03-18,9,3506,440,Ultra-Endurance,75.2,-665.4,54.8,true,false,true
imsa-2022-daytona,imsa,2022,02,Daytona International Speedway,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2022-01-21,2022-01-29,12,40782,1440,Ultra-Endurance,57.1,69.3,85.0,false,true,true
