POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,27,25,2:13.313,+8.474,+0.163,189.1,39,COOL Racing,LMP3,,,Ligier JS P320 - Nissan,M,65251,5790,6,5981,258,219,,,,,Jean-Ludovic,FOUBERT,B,,FRA,,9122,70,,,Min 01:45:00,Antoine,DOQUIN,S,,FRA,,9884,70,,,None,Nicolas,MAULINI,S,,CHE,,9120,219,,,None,,,,,,,,,,,,,,,,,,,
22,5,25,2:13.518,+8.679,+0.205,188.8,48,RLR MSport,LMP3,,,Ligier JS P320 - Nissan,M,65236,530,6,6102,,188,,,,,Michael,JENSEN,B,,DNK,,9543,57,,,Min 00:50:00,Nick,ADCOCK,B,,GBR,,9627,188,,,Min 00:50:00,Alex,KAPADIA,S,,GBR,,584,188,,,None,,,,,,,,,,,,,,,,,,,
23,11,28,2:13.689,+8.850,+0.171,188.6,37,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,65241,512,6,6102,,119,,,,,Max,KOEBOLT,S,,NLD,,9878,178,,,None,Jérome,DE SADELEER,B,,CHE,,10418,219,,,Min 01:45:00,Santiago Concepcion,SERRANO,S,,SPA,,,,,,,,,,,,,,,,,,,,,,,,,
24,14,16,2:13.693,+8.854,+0.004,188.6,45,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,65243,402,6,5981,258,181,,,,,James,DAYSON,B,,CAN,,8852,40,,,Min 01:45:00,Noam,ABRAMCZYK,S,,FRA,,10507,70,,,None,Mateusz,KAPRZYK,S,,POL,,10102,181,,,None,,,,,,,,,,,,,,,,,,,
25,15,11,2:13.882,+9.043,+0.189,188.3,31,RLR MSport,LMP3,,,Ligier JS P320 - Nissan,M,65244,530,6,5981,258,188,,,,,Horst,FELBERMAYR JR,B,,AUT,,705,17,,,Min 01:45:00,Austin,MCCUSKER,S,,USA,,9600,66,,,None,Valentino,CATALANO,S,,DEU,,10314,5,,,None,,,,,,,,,,,,,,,,,,,
26,13,27,2:14.203,+9.364,+0.321,187.9,38,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,65242,402,6,5981,258,181,,,,,Charles,CREWS,B,,USA,,9739,66,,,Min 01:45:00,Nicolas,PINO,S,,GBR,,10281,188,,,None,Guilherme,OLIVEIRA,S,,PRT,,10292,184,,,None,,,,,,,,,,,,,,,,,,,
27,6,14,2:14.345,+9.506,+0.142,187.7,35,360 Racing,LMP3,,,Ligier JS P320 - Nissan,M,65237,514,6,5981,258,188,,,,,Terrence,WOODWARD,B,,GBR,,1764,188,,,Min 00:50:00,Ross,KAISER,S,,GBR,,1766,188,,,None,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,12,2:14.792,+9.953,+0.447,187.1,12,United Autosports,LMP3,,,Ligier JS P320 - Nissan,M,65234,532,6,6102,,188,,,,,James,MCGUIRE,B,,USA,,8464,66,,,Min 00:50:00,Kay,VAN BERLO,S,,NLD,,9154,178,,,None,Andrew,BENTLEY,B,,GBR,,8860,188,,,Min 00:50:00,,,,,,,,,,,,,,,,,,,
29,7,28,2:14.960,+10.121,+0.168,186.8,36,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,,,,,,,,,,,Anthony,WELLS,B,,GBR,,,,,,,James,LITTLEJOHN,S,,GBR,,,,,,,Colin,NOBLE,G,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,
30,69,27,2:17.267,+12.428,+2.307,183.7,46,Oman Racing with TF Sport,LMGTE,,,Aston Martin Vantage AMR,G,65269,6148,10,5896,260,170,,,,,Ahmad,AL HARTHY,B,,OMN,,8810,170,,,Min 01:30:00,Samuel,DE HAAN,S,,GBR,,10441,188,,,Min 00:45:00,Marco,SORENSEN,P,,DNK,,10509,57,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
31,32,36,2:17.342,+12.503,+0.075,183.6,44,Rinaldi Racing,LMGTE,,,Ferrari 488 GTE Evo,G,65255,6020,10,5910,3,5,,,,,Pierre,EHRET,B,,DEU,,81,5,,,Min 00:45:00,Diego,ALESSI,B,,ITA,,10816,119,,,Min 00:45:00,Nicolas,VARRONE,S,,ARG,,9853,13,,,Min 00:45:00,,,,,,,,,,,,,,,,,,,
32,93,2,2:17.820,+12.981,+0.478,182.9,45,Proton Competition,LMGTE,,,Porsche 911 RSR - 19,G,65273,45,10,5965,4368,5,,,,,Michael,FASSBENDER,B,,IRL,,9752,116,,,Min 01:30:00,Zacharie,ROBICHON,S,,CAN,,10636,40,,,Min 00:45:00,Richard,LIETZ,P,,AUT,,66,17,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
33,95,17,2:17.881,+13.042,+0.061,182.9,45,Oman Racing with TF Sport,LMGTE,,,Aston Martin Vantage AMR,G,65274,6148,10,5896,260,170,,,,,John,HARTSHORNE,B,,GBR,,823,188,,,Min 01:30:00,Henrique,CHAVES,S,,PRT,,9157,184,,,Min 00:45:00,Jonathan,ADAM,P,,GBR,,194,188,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
34,55,11,2:17.885,+13.046,+0.004,182.9,43,Spirit of Race,LMGTE,,,Ferrari 488 GTE Evo,G,65264,5546,10,5910,3,219,,,,,Duncan,CAMERON,B,,GBR,,327,188,,,Min 01:30:00,Matthew,GRIFFIN,G,,IRL,,7395,116,,,Max 01:15:00,David,PEREL,S,,ZAF,,9590,2,,,Min 00:45:00,,,,,,,,,,,,,,,,,,,
35,18,22,2:18.019,+13.180,+0.134,182.7,43,Absolute Racing,LMGTE,,,Porsche 911 RSR - 19,G,65246,6082,10,5965,4368,92,,,,,Andrew,HARYANTO,B,,IDN,,10069,113,,,Min 01:30:00,Martin,RUMP,S,,EST,,10348,65,,,Min 00:45:00,Alessio,PICARIELLO,G,,BEL,,9740,23,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
36,60,44,2:18.266,+13.427,+0.247,182.4,46,Iron Lynx,LMGTE,,,Ferrari 488 GTE Evo,G,65266,5979,10,5910,3,119,,,,,Claudio,SCHIAVONI,B,,ITA,,8812,119,,,Min 01:30:00,Davide,RIGON,P,,ITA,,266,119,,,Max 01:15:00,Matteo,CRESSONI,S,,ITA,,338,119,,,Min 00:45:00,,,,,,,,,,,,,,,,,,,
37,77,17,2:18.273,+13.434,+0.007,182.4,48,Proton Competition,LMGTE,,,Porsche 911 RSR - 19,G,65270,45,10,5965,4368,5,,,,,Christian,RIED,B,,DEU,,90,5,,,Min 01:30:00,Lorenzo,FERRARI,S,,ITA,,10654,119,,,Min 00:45:00,Gianmaria,BRUNI,P,,ITA,,59,119,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
38,57,36,2:18.421,+13.582,+0.148,182.2,50,Kessel Racing,LMGTE,,,Ferrari 488 GTE Evo,G,65265,120,10,5910,3,219,,,,,Conrad,GRUNEWALD,B,,UNI,,,,,,,Frederik,SCHANDORFF,S,,DNK,,10641,57,,,Min 00:45:00,Mikkel,JENSEN,G,,DNK,,8276,57,,,Max 01:15:00,,,,,,,,,,,,,,,,,,,
39,83,34,2:18.548,+13.709,+0.127,182.0,46,Iron Lynx,LMGTE,,,Ferrari 488 GTE Evo,G,65271,5979,10,5910,3,119,,,,,Sarah,BOVY,B,,BEL,,1191,23,,,Min 01:30:00,Michelle,GATTING,S,,DNK,,9343,57,,,Min 00:45:00,Doriane,PIN,S,,FRA,,10112,70,,,Min 00:45:00,,,,,,,,,,,,,,,,,,,
40,66,42,2:19.650,+14.811,+1.102,180.6,51,JMW Motorsport,LMGTE,,,Ferrari 488 GTE Evo,G,65268,35,10,5910,3,188,,,,,Giacomo,PETROBELLI,B,,ITA,,805,119,,,Min 01:30:00,Matthew,PAYNE,S,,NEW,,,,,,,Sean,HUDSPETH,S,,SGP,,10647,212,,,Min 00:45:00,,,,,,,,,,,,,,,,,,,
41,33,0,,,,,0,Rinaldi Racing,LMGTE,,,Ferrari 488 GTE Evo,G,,,,,,,,,,,Fabrizio,CRESTANI,S,,ITA,,,,,,,Jeroen,BLEEKEMOLEN,G,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
