POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,3,0,,,,,2,DBG MOTORSPORT,991-1,991-1,,991 GT3 Cup phase I,,,,,,,,,,,,Jacques,Beaurain,,,FRA,,,,,,,Daniel,Gérarduzzi,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,0,,,,,2,BERTO MOTEURS,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Laurent,Cochard,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,0,,,,,2,IMSA PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Stéphane,Girardot,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,0,,,,,2,BERTO MOTEURS,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,David,Sarny,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Jean Philippe,Gambaro,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23,0,,,,,2,TINSEAU RACING,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Bernard,Coisne,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24,0,,,,,2,TINSEAU RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Julien,Jacquel,,,FRA,,,,,,,Michael,Blanchemain,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25,0,,,,,2,BERTO MOTEURS,991-1,991-1,,991 GT3 Cup phase I,,,,,,,,,,,,Christophe,Mayeur,,,FRA,,,,,,,Guillaume,Bedra,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,0,,,,,2,911 IMPACT,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Michel,Nourry,,,FRA,,,,,,,Michael,De Cock,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,0,,,,,2,MARTINET BY ALMERAS,992,992,,992 GT3 Cup,,,,,,,,,,,,Jean,Glorieux,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29,0,,,,,2,MARTINET BY ALMERAS,992,992,,992 GT3 Cup,,,,,,,,,,,,Julien,Froment,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,0,,,,,2,BERTO MOTEURS,992,992,,992 GT3 Cup,,,,,,,,,,,,Sébastien,Lajoux,,,FRA,,,,,,,Philippe,Bonnel,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,32,0,,,,,0,ID RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Mohammad J.,Alkazemi,,,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Marlon,Hernandez,,,FRA,,,,,,,Thierry,Blaise,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,34,0,,,,,2,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Gabriele,Rindone,,,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,35,0,,,,,2,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Fuad,Sawaya,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,36,0,,,,,2,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Alexander,Schwarzer,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,37,0,,,,,2,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Luc,Vanderfeesten,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,43,0,,,,,2,DSR RACING,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Lionel,Rigaud,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,44,0,,,,,2,RACING TECHNOLOGY,992,992,,991 GT3 Cup phase II,,,,,,,,,,,,Cyril,Caillo,,,FRA,,,,,,,Jean Luc,Deblangey,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,45,0,,,,,2,BERTO MOTEURS,992,992,,992 GT3 Cup,,,,,,,,,,,,Boris,Gimond,,,FRA,,,,,,,Yves,Provins,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,46,0,,,,,2,HRT PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Gregg,Gorski,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,47,0,,,,,2,HRT PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Axel,Sartingen,,,GEU,,,,,,,Kim André,Hauschild,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,48,0,,,,,1,HRT PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Kerong,Li,,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,49,0,,,,,2,HRT PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Aurelijus,Rusteika,,,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,50,0,,,,,2,IMSA PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Michel,Ettouati,,,FRA,,,,,,,Franck,Racinet,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,56,0,,,,,2,DS EVENTS,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Patrice,Garrouste,,,FRA,,,,,,,Etienne,Garrouste,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,57,0,,,,,2,DS EVENTS,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Guillaume,Raynaud,,,FRA,,,,,,,Gérard,Zanoni,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,58,0,,,,,2,DS EVENTS,981,981,,981 Cayman Clubsport,,,,,,,,,,,,François-Xavier,Bourdin,,,FRA,,,,,,,André,Zaphirato,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,59,0,,,,,1,IMSA PERFORMANCE,991-1,991-1,,991 GT3 Cup phase I,,,,,,,,,,,,Pierre,Vassallo,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,61,0,,,,,2,EARL BAMBER MOTORSPORT,R,R,,991 GT3 R,,,,,,,,,,,,Adrian,D'Silva,,,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,62,0,,,,,2,AD MOMENTUM RACING by VTP,718,718,,981 Cayman Clubsport,,,,,,,,,,,,Ioannis,Plagos,,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,64,0,,,,,2,CG MOTORSPORT,718,718,,718 Cayman Clubsport,,,,,,,,,,,,Dimitri,Verza,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,65,0,,,,,0,PORSCHE LORIENT RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Hervé,Tremblaye,,,FRA,,,,,,,Frédéric,Ancel,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,66,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Howard,Blank,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,67,0,,,,,2,RIVIERA MOTORSPORT,718,718,,718 Cayman Clubsport,,,,,,,,,,,,Jean Charles,Carminati,,,FRA,,,,,,,Julien,Goujat,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,68,0,,,,,2,CG MOTORSPORT,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Didier,Jardin,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,70,0,,,,,2,REMPP RACING,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Rodolphe,Gabrion,,,FRA,,,,,,,Fabian,Bouche,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,72,0,,,,,2,GLINCHE RACING,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Hervé,Glinche,,,FRA,,,,,,,Lucas,Glinche,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,73,0,,,,,2,911 IMPACT,718,718,,718 Cayman Clubsport,,,,,,,,,,,,Laurent,Nuss,,,FRA,,,,,,,Romuald,Valichon,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,76,0,,,,,2,CG MOTORSPORT,718,718,,718 Cayman Clubsport,,,,,,,,,,,,Bertrand,Dumarcet,,,FRA,,,,,,,Damien,Legrez,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,77,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Bruce,Belloeil,,,FRA,,,,,,,Tugdual,Rabreau,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,79,0,,,,,2,GDL RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Steve,Liquorish,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,80,0,,,,,2,GDL RACING,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Roberto,Fecchio,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,81,0,,,,,2,GDL RACING,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Jim,Michaelian,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,82,0,,,,,2,GDL RACING,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Stefano,Borghi,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,83,0,,,,,2,HUBER RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Bashar,Mardini,,,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,84,0,,,,,2,HUBER RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Kai,Pfister,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,85,0,,,,,2,HUBER RACING,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Stefan,Kiefer,,,DEU,,,,,,,David,Kiefer,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,86,0,,,,,2,HUBER RACING,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Stefano,Höge,,,DEU,,,,,,,Gunther,Höge,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,88,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Franck,Leherpeur,,,FRA,,,,,,,Olivier,Baharian,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,89,0,,,,,2,PARKER RACING,R,R,,991 GT3 R,,,,,,,,,,,,Nick,Jones,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,90,0,,,,,1,ID RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Mark,Thomas,,,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,91,0,,,,,2,ID RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Jeronimo,Guzman,,,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,92,0,,,,,2,SPEED LOVER,992,992,,992 GT3 Cup,,,,,,,,,,,,Dominique,Bastien,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,93,0,,,,,2,SPEED LOVER,992,992,,992 GT3 Cup,,,,,,,,,,,,P.J.,Hyett,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,94,0,,,,,2,SPEED LOVER,992,992,,992 GT3 Cup,,,,,,,,,,,,John,de Wilde,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,99,0,,,,,2,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Fabrice,Notari,,,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,100,0,,,,,2,PORSCHE LORIENT RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Ludovic,Loeul,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,111,0,,,,,2,RACING TECHNOLOGY,718,718,,718 Cayman Clubsport,,,,,,,,,,,,Frédéric,Perriat,,,FRA,,,,,,,Stéphane,Brémard,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
