POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,8,4,1:26.194,+4.143,+0.046,180.3,46,Graff,LMP3,,,Ligier JS P320 - Nissan,M,51398,516,6,5981,258,70,,,,,Eric,TROUILLET,B,,FRA,,1542,70,,,,Sébastien,PAGE,B,,CHE,,9545,219,,,,David,DROUX,S,,CHE,,1612,219,,,,,,,,,,,,,,,,,,,,,,
22,20,8,1:26.221,+4.170,+0.027,180.3,51,Team Virage,LMP3,,,Ligier JS P320 - Nissan,M,51408,5892,6,5981,258,181,,,,,Rob,HODES,B,,USA,,9392,66,,,,Garett,GRIST,S,,CAN,,9182,40,,,,Charles,CREWS,B,,USA,,9739,66,,,,,,,,,,,,,,,,,,,,,,
23,7,8,1:26.468,+4.417,+0.247,179.8,40,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,51397,5670,6,5981,258,188,,,,,Anthony,WELLS,B,,GBR,,582,188,,,,Colin,NOBLE,S,,GBR,,8474,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11,11,1:26.490,+4.439,+0.022,179.7,46,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,51400,512,6,5981,258,119,,,,,Andrea,DROMEDARI,B,,ITA,,1986,119,,,,Cem,BOLUKBASI,B,,TUR,,10133,240,,,,Joey,ALDERS,G,,NLD,,10111,178,,,,,,,,,,,,,,,,,,,,,,
25,13,6,1:26.520,+4.469,+0.030,179.7,49,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,51402,402,6,5981,258,181,,,,,Martin,HIPPE,B,,DEU,,1890,5,,,,Ugo,DE WILDE,S,,BEL,,9811,23,,,,Ulysse,DE PAUW,S,,BEL,,10140,23,,,,,,,,,,,,,,,,,,,,,,
26,12,8,1:26.550,+4.499,+0.030,179.6,32,Racing Experience,LMP3,,,Duqueine M30 - D08 - Nissan,M,51401,5806,6,5979,4408,138,,,,,David,HAUSER,S,,LUX,,8974,138,,,,Gary,HAUSER,S,,LUX,,8978,138,,,,Tom,CLOET,B,,BEL,,5592,23,,,,,,,,,,,,,,,,,,,,,,
27,9,8,1:26.584,+4.533,+0.034,179.5,47,Graff,LMP3,,,Ligier JS P320 - Nissan,M,51399,516,6,5981,258,70,,,,,Matthias,KAISER,S,,LIE,,9546,136,,,,Rory,PENTTINEN,B,,FIN,,9628,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15,3,1:26.642,+4.591,+0.058,179.4,44,RLR MSport,LMP3,,,Ligier JS P320 - Nissan,M,51404,530,6,5981,258,188,,,,,Michael,BENHAM,B,,GBR,,8796,188,,,,Alex,KAPADIA,S,,GBR,,584,188,,,,Malthe,JAKOBSEN,S,,DNK,,9611,57,,,,,,,,,,,,,,,,,,,,,,
29,5,10,1:26.749,+4.698,+0.107,179.2,41,MV2S Racing,LMP3,,,Ligier JS P320 - Nissan,M,51395,5999,6,5981,258,70,,,,,Christophe,CRESP,B,,FRA,,9632,70,,,,Fabien,LAVERGNE,S,,FRA,,9318,70,,,,Adrien,CHILA,B,,FRA,,8454,70,,,,,,,,,,,,,,,,,,,,,,
30,18,9,1:26.985,+4.934,+0.236,178.7,41,1 AIM Villorba Corse,LMP3,,,Ligier JS P320 - Nissan,M,51406,6062,6,5981,258,119,,,,,Alessandro,BRESSAN,S,,ITA,,9570,119,,,,Andreas,LASKARATOS,B,,GRC,,9430,79,,,,Damiano,FIORAVANTI,S,,ITA,,9377,119,,,,,,,,,,,,,,,,,,,,,,
