POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
21,77,Classified,113,4:03:41.250,6 Laps,+9.801,59,1:57.305,165.4,D'Station Racing,GT,,,Aston Martin Vantage AMR GT3,M,57886,6071,4083,6085,260,121,,,,,Satoshi,Hoshino,B,,JPN,,1310,121,,,Min 00:55:00,Tomonobu,Fujii,G,,JPN,,1308,121,,,None,Thomas,Gamble,S,,GBR,,9549,188,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
22,95,Classified,113,4:03:41.815,6 Laps,+0.565,58,1:57.645,164.9,TF Sport,GT,,,Aston Martin Vantage AMR GT3,M,57889,364,4083,6085,260,188,,,,,John,Hartshorne,B,,GBR,,823,188,,,Min 00:55:00,Jonathan,Adam,P,,GBR,,194,188,,,None,Henrique,Chaves,S,,PRT,,9157,184,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
23,20,Classified,113,4:03:54.015,6 Laps,+12.200,58,1:57.320,165.4,SPS Automotive Performance,GT,AM,GT-AM,Mercedes AMG GT3,M,57873,5929,4083,5592,4314,5,,,,,Valentin,Pierburg,B,,DEU,,9527,5,,,Min 00:55:00,John,Loggie,B,,GBR,,10227,188,,,Min 00:55:00,Mikael,Grenier,S,,CAN,,10448,40,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
24,12,Classified,112,4:02:04.292,7 Laps,1 Lap,60,1:57.328,165.4,Dinamic Motorsport,GT,,,Porsche 911 GT3 R,M,57871,6183,4083,4343,4368,119,,,,,Giorgio,Roda,S,,ITA,,458,119,,,Min 00:55:00,Benjamin,Barker,G,,GBR,,594,188,,,None,Philipp,Sager,B,,AUT,,10446,17,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
25,59,Classified,112,4:02:15.042,7 Laps,+10.750,91,1:58.227,164.1,Garage 59,GT,,,McLaren 720S GT3,M,57882,5770,4083,6044,60,188,,,,,Nicolai,Kjaergaard,S,,DNK,,10305,57,,,Min 00:55:00,Manuel,Maldonado,S,,VEN,,9880,246,,,Min 00:55:00,James,Vowles,B,,GBR,,10450,188,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
26,96,Classified,112,4:02:40.629,7 Laps,+0.681,42,1:58.457,163.8,Attempto Racing,GT,,,Audi R8 LMS GT3 EVO,M,57890,6186,4083,6129,1,5,,,,,Alexander,AKA,S,,DEU,,10436,5,,,Min 00:55:00,Florian,Scholze,B,,DEU,,9586,5,,,Min 00:55:00,Finlay,Hutchison,S,,GBR,,9615,188,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
27,57,Classified,112,4:02:45.172,7 Laps,+4.543,58,1:57.171,165.6,Kessel Racing,GT,AM,GT-AM,Ferrari 488 GT3,M,57881,120,4083,5578,3,219,,,,,Roman,Ziemian,B,,POL,,10435,181,,,Min 00:55:00,Francesco,Zollo,B,,ITA,,10226,119,,,Min 00:55:00,Axcil,Jefferies,S,,ZWE,,9876,188,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
28,99,Classified,112,4:02:56.087,7 Laps,+10.915,91,1:58.160,164.2,Herberth Motorsport,GT,AM,GT-AM,Porsche 911 GT3 R,M,57891,6083,4083,4343,4368,5,,,,,Jurgen,Haring,B,,DEU,,10437,5,,,Min 00:55:00,Fin,Gehrsitz,B,,DEU,,10113,5,,,Min 00:55:00,Marco,Seefried,S,,DEU,,536,5,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
29,51,Classified,111,4:03:27.386,8 Laps,1 Lap,61,1:58.007,164.4,AF Corse,GT,,,Ferrari 488 GT3,M,57879,16,4083,5578,3,119,,,,,Alessandro,Pier Guidi,P,,ITA,,340,119,,,None,Victor,Gomez,S,,PRI,,10440,183,,,Min 00:55:00,Francesco,Piovanetti,B,,PRI,,9528,66,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
30,35,Classified,110,4:03:14.514,9 Laps,1 Lap,85,1:59.656,162.2,Walkenhorst Motorsport,GT,AM,GT-AM,BMW M4 GT3,M,57876,6177,4083,6128,4433,5,,,,,Mario,van Bohlen,S,,DEU,,10433,5,,,Min 00:55:00,Henry,Walkenhorst,B,,DEU,,10404,5,,,Min 00:55:00,Jorg,Breuer,B,,DEU,,10449,5,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
31,48,Classified,108,4:03:57.462,11 Laps,2 Laps,87,2:00.425,161.1,Saalocin by Kox Racing,GT,,,Porsche 911 GT3 R,M,57878,6184,4083,4343,4368,61,,,,,Nicolas,Pronk,B,,NLD,,1198,178,,,Min 00:55:00,Stephane,KOX,S,,NLD,,8776,178,,,Min 00:55:00,Peter,KOX,S,,NLD,,691,178,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
32,72,Classified,112,4:02:39.948,7 Laps,+24.906,63,1:56.616,166.4,Koiranen Kemppi Motorsport,LMP3,,,Duqueine M30-D08-Nissan,M,57868,6181,6,5979,4408,69,,,,,Tomi,Veijalainen,B,,FIN,,10432,69,,,Min 01:45:00-Max 02:20:00,Jesse,Salmenautio,S,,FIN,,10439,69,,,Min 00:50:00-Max 01:25:00,Nikita,Aleksandrov,S,,RUS,,10445,189,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
,66,Not classified,80,3:26:14.981,,,56,2:00.930,160.5,YC Panda Racing,GT,AM,GT-AM,Audi R8 LMS GT3 EVO,M,57883,6185,4083,6129,1,43,,,,,Douglas,Khoo,B,,MYS,,9535,142,,,Min 00:55:00,Bashar,Mardini,B,,ARE,,10401,61,,,Min 00:55:00,Edgar,LAU,S,,HKG,,8836,92,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
,33,Not classified,79,2:53:55.530,,,58,1:57.791,164.7,Herberth Motorsport,GT,,,Porsche 911 GT3 R,M,57874,6083,4083,4343,4368,5,,,,,Antares,AU,B,,HKG,,10412,92,,,Min 00:55:00,Yifei,YE,S,,CHN,,10068,43,,,Min 00:55:00,Klaus,Bachler,G,,AUT,,291,17,,,None,,,,,,,,,,,,,,,,,,,
,21,Not classified,36,1:15:57.323,,,21,1:56.091,167.1,Konrad Motorsport,LMP3,,,Ginetta G61-LT-P315-EVO-Nissan,M,57864,212,6,6130,64,17,,,,,Gabriele,Rindone,B,,LUX,,,,,,Min 01:45:00-Max 02:20:00,Jordan,Grogor,S,,ZAF,,1180,2,,,Min 00:50:00-Max 01:25:00,Shaun,Thong,S,,HKG,,,,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
